munic,pe
COARI-AM,"1.198.514,07"
CAIRU-BA,"208.587,43"
ITAPEMIRIM-ES,"19.260.188,83"
MARATAIZES-ES,"3.616.477,60"
PRESIDENTE KENNEDY-ES,"24.302.271,05"
ARMACAO DOS BUZIOS-RJ,"486.776,39"
CABO FRIO-RJ,"3.099.144,11"
CAMPOS DOS GOYTACAZES-RJ,"22.546.607,38"
CARAPEBUS-RJ,"10.602,83"
CASIMIRO DE ABREU-RJ,"698.925,88"
MACAE-RJ,"705.900,72"
MARICA-RJ,"106.248.526,47"
NITEROI-RJ,"93.533.338,09"
QUISSAMA-RJ,"376.461,79"
RIO DAS OSTRAS-RJ,"2.252.334,82"
RIO DE JANEIRO-RJ,"17.430.604,34"
SAO JOAO DA BARRA-RJ,"6.742.280,65"
CARAGUATATUBA-SP,"144.008,07"
ILHABELA-SP,"51.773.375,35"
IGUAPE-SP,"247.046,88"
ILHA COMPRIDA-SP,"749.902,17"
PERUIBE-SP,"84.378,13"
UBATUBA-SP,"46.327,47"
