munic,pe
COARI-AM,"1.666.646,01"
POJUCA-BA,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
ITAPEMIRIM-ES,"164.375,78"
LINHARES-ES,"0,00"
MARATAIZES-ES,"23.464,53"
PRESIDENTE KENNEDY-ES,"12.921.865,60"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
ARMACAO DOS BUZIOS-RJ,"1.794.365,16"
ARRAIAL DO CABO-RJ,"62.205,69"
CABO FRIO-RJ,"11.913.097,91"
CAMPOS DOS GOYTACAZES-RJ,"134.694.575,51"
CARAPEBUS-RJ,"219.529,91"
CASIMIRO DE ABREU-RJ,"5.122.520,85"
MACAE-RJ,"14.835.105,34"
QUISSAMA-RJ,"6.352.615,73"
RIO DAS OSTRAS-RJ,"31.534.809,01"
SAO JOAO DA BARRA-RJ,"26.762.563,96"
AREIA BRANCA-RN,"101.929,30"
MOSSORO-RN,"515.116,88"
SERRA DO MEL-RN,"368,88"
CARMOPOLIS-SE,"265.397,68"
GENERAL MAYNARD-SE,"826,04"
JAPARATUBA-SE,"293.345,34"
MARUIM-SE,"6.874,19"
ROSARIO DO CATETE-SE,"20.054,46"
SANTO AMARO DAS BROTAS-SE,"5.299,88"
