munic,pe
MARECHAL DEODORO-AL,"12.902,00"
PILAR-AL,"39.619,00"
RIO LARGO-AL,"1.765,11"
SATUBA-AL,"3.493,69"
COARI-AM,"1.512.931,27"
POJUCA-BA,"157.169,14"
PRESIDENTE KENNEDY-ES,"743.502,29"
ARMAÇÃO DOS BUZIOS-RJ,"1.697.006,08"
CABO FRIO-RJ,"14.682.804,07"
CAMPOS DOS GOYTACAZES-RJ,"88.701.536,89"
CARAPEBUS-RJ,"350.796,95"
CASIMIRO DE ABREU-RJ,"6.378.838,51"
MACAE-RJ,"19.197.633,04"
QUISSAMA-RJ,"3.135.477,80"
RIO DAS OSTRAS-RJ,"37.285.895,97"
SÃO JOAO DA BARRA-RJ,"1.561.791,21"
AREIA BRANCA-RN,"182.206,88"
MOSSORO-RN,"1.147.239,77"
CARMOPOLIS-SE,"196.852,54"
GENERAL MAYNARD-SE,"1.024,80"
JAPARATUBA-SE,"256.908,83"
MARUIM-SE,"6.564,93"
ROSARIO DO CATETE-SE,"25.358,43"
SANTO AMARO DAS BROTAS-SE,"4.225,08"
