munic,pe
MARECHAL DEODORO-AL,"0,00"
PILAR-AL,"0,00"
RIO LARGO-AL,"0,00"
SATUBA-AL,"0,00"
COARI-AM,"1.613.499,18"
POJUCA-BA,"100.020,80"
PRESIDENTE KENNEDY-ES,"1.388.342,27"
ARMACAO DOS BUZIOS-RJ,"2.123.610,24"
CABO FRIO-RJ,"15.501.076,40"
CAMPOS DOS GOYTACAZES-RJ,"103.821.396,51"
CARAPEBUS-RJ,"467.618,04"
CASIMIRO DE ABREU-RJ,"5.632.452,68"
MACAE-RJ,"18.107.268,05"
QUISSAMA-RJ,"11.821.852,19"
RIO DAS OSTRAS-RJ,"34.309.116,95"
SAO JOAO DA BARRA-RJ,"1.324.910,78"
AREIA BRANCA-RN,"212.003,98"
MOSSORO-RN,"804.287,28"
CARMOPOLIS-SE,"357.440,56"
GENERAL MAYNARD-SE,"2.234,45"
JAPARATUBA-SE,"396.868,75"
MARUIM-SE,"8.849,38"
ROSARIO DO CATETE-SE,"29.692,98"
SANTO AMARO DAS BROTAS-SE,"8.369,79"
JAGUARE-ES,"0,00"
ITAPEMIRIM-ES,"662.969,61"
MARATAIZES-ES,"94.639,05"
ARRAIAL DO CABO-RJ,"117.561,07"
