munic,pe
COARI-AM,"1.772.448,51"
CAIRU-BA,"151.731,01"
ITAPEMIRIM-ES,"19.660.997,67"
MARATAIZES-ES,"4.099.239,95"
PRESIDENTE KENNEDY-ES,"25.993.969,89"
ARMACAO DOS BUZIOS-RJ,"807.896,59"
CABO FRIO-RJ,"5.215.168,43"
CAMPOS DOS GOYTACAZES-RJ,"35.419.724,96"
CARAPEBUS-RJ,"20.298,13"
CASIMIRO DE ABREU-RJ,"1.319.237,02"
MACAE-RJ,"1.912.977,35"
MARICA-RJ,"105.749.933,00"
NITEROI-RJ,"61.599.967,62"
QUISSAMA-RJ,"462.829,30"
RIO DAS OSTRAS-RJ,"4.979.571,97"
RIO DE JANEIRO-RJ,"17.329.902,14"
SAO JOAO DA BARRA-RJ,"9.382.628,92"
SANTO ANTONIO DOS LOPES-MA,"44.683,79"
CARAGUATATUBA-SP,"126.941,65"
ILHABELA-SP,"40.918.774,86"
IGUAPE-SP,"182.611,25"
ILHA COMPRIDA-SP,"202.396,04"
PERUIBE-SP,"74.378,46"
UBATUBA-SP,"40.837,18"
