munic,pe
COARI-AM,"1.931.575,01"
POJUCA-BA,"70.268,19"
PRESIDENTE KENNEDY-ES,"5.473.367,86"
ARMACAO DOS BUZIOS-RJ,"2.174.382,51"
CABO FRIO-RJ,"13.892.449,13"
CAMPOS DOS GOYTACAZES-RJ,"130.652.194,97"
CARAPEBUS-RJ,"398.341,22"
CASIMIRO DE ABREU-RJ,"6.333.449,74"
MACAE-RJ,"21.907.403,30"
QUISSAMA-RJ,"11.940.805,68"
RIO DAS OSTRAS-RJ,"40.560.445,72"
SAO JOAO DA BARRA-RJ,"9.696.811,79"
AREIA BRANCA-RN,"227.028,01"
MOSSORO-RN,"1.002.646,88"
CARMOPOLIS-SE,"373.063,77"
GENERAL MAYNARD-SE,"2.260,63"
JAPARATUBA-SE,"381.084,18"
MARUIM-SE,"10.577,04"
ROSARIO DO CATETE-SE,"36.153,25"
SANTO AMARO DAS BROTAS-SE,"9.488,50"
JAGUARE-ES,"0,00"
ITAPEMIRIM-ES,"750.057,76"
MARATAIZES-ES,"107.070,90"
ARRAIAL DO CABO-RJ,"206.376,14"
