munic,pe
COARI-AM,"1.671.821,30"
CAIRU-BA,"541.258,67"
ANCHIETA-ES,"0,00"
ITAPEMIRIM-ES,"9.964.094,96"
MARATAIZES-ES,"2.182.554,58"
PIUMA-ES,"0,00"
PRESIDENTE KENNEDY-ES,"16.232.679,21"
ARMACAO DOS BUZIOS-RJ,"160.555,29"
ARRAIAL DO CABO-RJ,"0,00"
CABO FRIO-RJ,"1.258.534,90"
CAMPOS DOS GOYTACAZES-RJ,"32.825.773,62"
CARAPEBUS-RJ,"39.182,64"
CASIMIRO DE ABREU-RJ,"751.371,46"
MACAE-RJ,"1.928.746,53"
MARICA-RJ,"40.076.250,93"
NITEROI-RJ,"35.280.164,84"
PARATI-RJ,"0,00"
QUISSAMA-RJ,"490.588,44"
RIO DAS OSTRAS-RJ,"3.765.199,00"
RIO DE JANEIRO-RJ,"6.586.437,95"
SAO JOAO DA BARRA-RJ,"11.102.890,71"
AREIA BRANCA-RN,"3.886,95"
MOSSORO-RN,"18.349,50"
SERRA DO MEL-RN,"32,34"
AUGUSTO SEVERO-RN,"0,00"
CARMOPOLIS-SE,"0,00"
GENERAL MAYNARD-SE,"0,00"
JAPARATUBA-SE,"0,00"
MARUIM-SE,"0,00"
ROSARIO DO CATETE-SE,"0,00"
SANTO AMARO DAS BROTAS-SE,"0,00"
SANTO ANTONIO DOS LOPES-MA,"224.155,38"
CARAGUATATUBA-SP,"16.216,03"
ILHABELA-SP,"26.083.340,37"
IGUAPE-SP,"93.199,14"
ILHA COMPRIDA-SP,"937.326,72"
PERUIBE-SP,"9.501,40"
UBATUBA-SP,"5.216,71"
