munic,pe
COARI-AM,"1.601.143,69"
CAIRU-BA,"348.380,76"
ITAPEMIRIM-ES,"11.785.202,80"
MARATAIZES-ES,"3.304.509,23"
PRESIDENTE KENNEDY-ES,"16.387.955,61"
CABO FRIO-RJ,"91.962,65"
CAMPOS DOS GOYTACAZES-RJ,"17.182.257,52"
CASIMIRO DE ABREU-RJ,"192.902,84"
MARICA-RJ,"46.050.951,37"
NITEROI-RJ,"40.539.848,85"
QUISSAMA-RJ,"254.994,30"
RIO DAS OSTRAS-RJ,"246.056,53"
RIO DE JANEIRO-RJ,"7.578.198,96"
SAO JOAO DA BARRA-RJ,"7.488.370,05"
CARAGUATATUBA-SP,"15.268,73"
ILHABELA-SP,"35.484.293,93"
IGUAPE-SP,"68.984,41"
ILHA COMPRIDA-SP,"637.713,09"
PERUIBE-SP,"8.946,35"
UBATUBA-SP,"4.911,97"
