munic,pe
COARI-AM,"4086089,33"
CAIRU-BA,"627074,84"
POJUCA-BA,0
ARACRUZ-ES,0
FUNDAO-ES,0
ITAPEMIRIM-ES,"22043812,00"
LINHARES-ES,0
MARATAIZES-ES,"3684991,99"
PIUMA-ES,"37361,43"
PRESIDENTE KENNEDY-ES,"36622605,40"
SERRA-ES,0
VITORIA-ES,0
ARMACAO DOS BUZIOS-RJ,"4786227,48"
ARRAIAL DO CABO-RJ,"369302,45"
CABO FRIO-RJ,"30210688,86"
CAMPOS DOS GOYTACAZES-RJ,"152663158,96"
CARAPEBUS-RJ,489952
CASIMIRO DE ABREU-RJ,"9427148,98"
MACAE-RJ,15014807
MARICA-RJ,19313974
NITEROI-RJ,17002090
PARATI-RJ,2246702
QUISSAMA-RJ,1996236
