munic,pe
MARECHAL DEODORO-AL,"6.588,95"
PILAR-AL,"30.146,56"
RIO LARGO-AL,"1.772,62"
SATUBA-AL,"5.560,43"
COARI-AM,"1.914.006,88"
POJUCA-BA,"265.983,93"
JAGUARE-ES,"66.322,44"
PRESIDENTE KENNEDY-ES,"1.619.826,99"
ARMACAO DOS BUZIOS-RJ,"2.382.576,84"
CABO FRIO-RJ,"22.643.559,44"
CAMPOS DOS GOYTACAZES-RJ,"116.803.166,18"
CARAPEBUS-RJ,"463.130,09"
CASIMIRO DE ABREU-RJ,"7.807.350,04"
MACAE-RJ,"22.651.066,63"
QUISSAMA-RJ,"4.919.230,87"
RIO DAS OSTRAS-RJ,"44.199.591,22"
SAO JOAO DA BARRA-RJ,"3.402.587,43"
AREIA BRANCA-RN,"209.673,12"
MOSSORO-RN,"1.014.304,39"
CARMOPOLIS-SE,"300.087,63"
GENERAL MAYNARD-SE,"1.682,94"
JAPARATUBA-SE,"340.427,32"
MARUIM-SE,"8.024,50"
ROSARIO DO CATETE-SE,"26.168,21"
SANTO AMARO DAS BROTAS-SE,"5.754,40"
