munic,pe
Marechal Deodoro - AL,"16.184,45"
Pilar - AL,"63.534,37"
Rio Largo - AL,"3.746,19"
Satuba - AL,"6.878,21"
Coari - AM,"2.090.321,05"
Pojuca - BA,"202.137,07"
Presidente Kennedy - ES,"662.123,70"
Armação dos Búzios - RJ,"2.303.241,76"
Cabo Frio - RJ,"22.865.075,32"
Campos dos Goytacazes - RJ,"108.573.252,43"
Carapebus - RJ,"512.905,36"
Casimiro de Abreu - RJ,"7.637.608,75"
Macaé - RJ,"21.919.062,07"
Quissamã - RJ,"4.059.128,21"
Rio das Ostras - RJ,"42.799.422,84"
São João da Barra - RJ,"1.390.848,40"
Areia Branca - RN,"203.413,87"
Mossoró - RN,"1.144.464,53"
Carmópolis - SE,"321.252,99"
General Maynard - SE,"1.977,84"
Japaratuba - SE,"377.188,98"
Maruim - SE,"8.154,44"
Rosário do Catete - SE,"27.611,35"
Santo Amaro das Brotas - SE,"5.829,72"
