munic,pe
COARI-AM,2089516
POJUCA-BA,64562
ARACRUZ-ES,142669
FUNDAO-ES,23639
ITAPEMIRIM-ES,347486
LINHARES-ES,617896
MARATAIZES-ES,49603
PRESIDENTE KENNEDY-ES,16684992
SERRA-ES,60171
VITORIA-ES,5198
ARMACAO DOS BUZIOS-RJ,2318708
ARRAIAL DO CABO-RJ,272838
CABO FRIO-RJ,13115387
CAMPOS DOS GOYTACAZES-RJ,203095335
CARAPEBUS-RJ,537658
CASIMIRO DE ABREU-RJ,6905410
MACAE-RJ,28320448
QUISSAMA-RJ,14302625
RIO DAS OSTRAS-RJ,50546573
SAO JOAO DA BARRA-RJ,34242983
AREIA BRANCA-RN,246831
MOSSORO-RN,1242408
SERRA DO MEL-RN,1964
CARMOPOLIS-SE,471988
GENERAL MAYNARD-SE,2148
JAPARATUBA-SE,467660
MARUIM-SE,12965
ROSARIO DO CATETE-SE,42576
SANTO AMARO DAS BROTAS-SE,9620
