munic,pe
COARI-AM,"4.575.960,21"
CAIRU-BA,"660.378,00"
POJUCA-BA,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
ITAPEMIRIM-ES,"17.522.628,25"
LINHARES-ES,"0,00"
MARATAIZES-ES,"3.101.460,43"
PIUMA-ES,"81.748,36"
PRESIDENTE KENNEDY-ES,"35.646.401,84"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
ARMACAO DOS BUZIOS-RJ,"5.916.597,06"
ARRAIAL DO CABO-RJ,"356.667,43"
CABO FRIO-RJ,"37.647.108,47"
CAMPOS DOS GOYTACAZES-RJ,"182.197.512,80"
CARAPEBUS-RJ,"430.135,73"
CASIMIRO DE ABREU-RJ,"11.310.900,43"
MACAE-RJ,"13.590.046,61"
MARICA-RJ,"17.496.392,40"
NITEROI-RJ,"15.402.528,77"
PARATI-RJ,"2.169.835,68"
QUISSAMA-RJ,"1.970.480,93"
RIO DAS OSTRAS-RJ,"36.675.555,90"
RIO DE JANEIRO-RJ,"2.855.192,71"
SAO JOAO DA BARRA-RJ,"35.099.855,18"
AREIA BRANCA-RN,"270.004,14"
MOSSORO-RN,"1.122.829,55"
SERRA DO MEL-RN,"2.486,10"
AUGUSTO SEVERO-RN,"911,00"
CARMOPOLIS-SE,"353.625,12"
GENERAL MAYNARD-SE,"1.252,07"
JAPARATUBA-SE,"387.123,48"
MARUIM-SE,"8.862,78"
ROSARIO DO CATETE-SE,"42.699,51"
SANTO AMARO DAS BROTAS-SE,"15.191,92"
SANTO ANTONIO DOS LOPES-MA,"24.429,01"
IGUAPE-SP,"706.000,90"
ILHA COMPRIDA-SP,"9.209.742,00"
