munic,pe
COARI-AM,"2.817.221,00"
CAIRU-BA,"95.829,28"
POJUCA-BA,"0,00"
ARACRUZ-ES,"377.455,17"
FUNDAO-ES,"62.541,73"
ITAPEMIRIM-ES,"7.661.923,80"
LINHARES-ES,"0,00"
MARATAIZES-ES,"1.960.719,28"
PIUMA-ES,"120.484,34"
PRESIDENTE KENNEDY-ES,"20.353.049,39"
SERRA-ES,"159.193,19"
VITORIA-ES,"13.753,85"
ARMACAO DOS BUZIOS-RJ,"3.349.991,83"
ARRAIAL DO CABO-RJ,"5.288,31"
CABO FRIO-RJ,"22.933.511,72"
CAMPOS DOS GOYTACAZES-RJ,"159.079.436,90"
CARAPEBUS-RJ,"133.279,43"
CASIMIRO DE ABREU-RJ,"8.216.759,70"
MACAE-RJ,"16.210.897,81"
QUISSAMA-RJ,"3.618.822,74"
RIO DAS OSTRAS-RJ,"39.430.608,73"
SAO JOAO DA BARRA-RJ,"27.267.681,69"
AREIA BRANCA-RN,"122.532,39"
MOSSORO-RN,"563.744,41"
SERRA DO MEL-RN,"1.132,17"
CARMOPOLIS-SE,"304.709,49"
GENERAL MAYNARD-SE,"1.550,87"
JAPARATUBA-SE,"323.515,14"
MARUIM-SE,"7.658,74"
ROSARIO DO CATETE-SE,"27.353,15"
SANTO AMARO DAS BROTAS-SE,"5.229,94"
