munic,pe
COARI-AM,"3 .942.167,76"
CAIRU-BA,"192.316,68"
POJUCA-BA,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
ITAPEMIRIM-ES,"21 .657.686,65"
LINHARES-ES,"0,00"
MARATAIZES-ES,"3 .950.020,64"
PIUMA-ES,"119.291,37"
PRESIDENTE KENNEDY-ES,"37 .756.927,12"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
ARMACAO DOS BUZIOS-RJ,"4 .110.588,08"
ARRAIAL DO CABO-RJ,"0,00"
CABO FRIO-RJ,"28 .517.251,02"
CAMPOS DOS GOYTACAZES-RJ,"177 .072.670,12"
CARAPEBUS-RJ,"791.237,37"
CASIMIRO DE ABREU-RJ,"10 .682.695,09"
MACAE-RJ,"18 .324.046,48"
MARICA-RJ,"861.397,55"
NITEROI-RJ,"758.310,64"
QUISSAMA-RJ,"4 .143.826,11"
RIO DAS OSTRAS-RJ,"41 .382.870,97"
RIO DE JANEIRO-RJ,"140.569,32"
SAO JOAO DA BARRA-RJ,"32 .247.093,63"
AREIA BRANCA-RN,"130.660,84"
MOSSORO-RN,"603.082,50"
SERRA DO MEL-RN,"1.052,08"
CARMOPOLIS-SE,"347.637,44"
GENERAL MAYNARD-SE,"981,92"
JAPARATUBA-SE,"364.466,95"
MARUIM-SE,"6.782,21"
ROSARIO DO CATETE-SE,"37.741,55"
SANTO AMARO DAS BROTAS-SE,"6.149,05"
