munic,pe
MARECHAL DEODORO-AL,"40.982,50"
PILAR-AL,"108.316,51"
RIO LARGO-AL,"6.246,63"
SATUBA-AL,"16.325,17"
COARI-AM,"1.926.299,14"
POJUCA-BA,"233.129,53"
JAGUARE-ES,"22.420,71"
PRESIDENTE KENNEDY-ES,"753.720,74"
ARMAÇÃO DOS BUZIOS-RJ,"1.376.271,50"
CABO FRIO-RJ,"8.746.361,98"
CAMPOS DOS GOYTACAZES-RJ,"76.115.675,72"
CARAPEBUS-RJ,"683.438,03"
CASIMIRO DE ABREU-RJ,"1.924.897,01"
MACAE-RJ,"18.664.940,55"
QUISSAMA-RJ,"5.579.410,20"
RIO DAS OSTRAS-RJ,"30.753.529,43"
SÃO JOAO DA BARRA-RJ,"1.583.255,95"
AREIA BRANCA-RN,"243.733,09"
MOSSORO-RN,"1.343.554,27"
CARMOPOLIS-SE,"181.233,13"
GENERAL MAYNARD-SE,"867,00"
JAPARATUBA-SE,"232.640,20"
MARUIM-SE,"6.919,11"
ROSARIO DO CATETE-SE,"19.414,81"
SANTO AMARO DAS BROTAS-SE,"4.168,95"
