munic,pe
COARI-AM,"4.411.498,32"
CAIRU-BA,"696.001,85"
ITAPEMIRIM-ES,"17.321.280,45"
MARATAIZES-ES,"3.162.084,04"
PIUMA-ES,"94.198,79"
PRESIDENTE KENNEDY-ES,"34.637.933,01"
ARMACAO DOS BUZIOS-RJ,"5.896.221,81"
ARRAIAL DO CABO-RJ,"455.047,77"
CABO FRIO-RJ,"37.294.670,46"
CAMPOS DOS GOYTACAZES-RJ,"179.373.500,99"
CARAPEBUS-RJ,"580.805,83"
CASIMIRO DE ABREU-RJ,"11.759.536,14"
MACAE-RJ,"13.303.910,33"
MARICA-RJ,"14.773.963,94"
NITEROI-RJ,"13.005.904,27"
PARATI-RJ,"2.768.346,16"
QUISSAMA-RJ,"2.638.219,66"
RIO DAS OSTRAS-RJ,"36.414.191,85"
RIO DE JANEIRO-RJ,"2.410.926,39"
SAO JOAO DA BARRA-RJ,"33.697.278,54"
AREIA BRANCA-RN,"315.782,27"
MOSSORO-RN,"1.277.198,11"
SERRA DO MEL-RN,"3.306,23"
AUGUSTO SEVERO-RN,"1.609,19"
CARMOPOLIS-SE,"323.654,94"
GENERAL MAYNARD-SE,"1.254,25"
JAPARATUBA-SE,"350.179,81"
MARUIM-SE,"9.143,97"
ROSARIO DO CATETE-SE,"39.969,36"
SANTO AMARO DAS BROTAS-SE,"12.693,96"
IGUAPE-SP,"326.605,66"
ILHA COMPRIDA-SP,"4.260.552,47"
