munic,pe
COARI-AM,"3.883.383,35"
CAIRU-BA,"135.816,85"
POJUCA-BA,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
ITAPEMIRIM-ES,"12.522.227,95"
LINHARES-ES,"186.860,21"
MARATAIZES-ES,"2.799.897,97"
PIUMA-ES,"140.686,81"
PRESIDENTE KENNEDY-ES,"26.795.472,79"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
ARMACAO DOS BUZIOS-RJ,"3.284.674,60"
ARRAIAL DO CABO-RJ,"0,00"
CABO FRIO-RJ,"23.738.127,31"
CAMPOS DOS GOYTACAZES-RJ,"155.187.777,99"
CARAPEBUS-RJ,"756.328,29"
CASIMIRO DE ABREU-RJ,"9.706.817,99"
MACAE-RJ,"14.765.164,34"
QUISSAMA-RJ,"3.099.698,70"
RIO DAS OSTRAS-RJ,"34.358.184,35"
SAO JOAO DA BARRA-RJ,"31.013.823,25"
AREIA BRANCA-RN,"136.060,44"
MOSSORO-RN,"650.513,27"
SERRA DO MEL-RN,"1.195,09"
CARMOPOLIS-SE,"321.146,76"
GENERAL MAYNARD-SE,"1.154,24"
JAPARATUBA-SE,"352.177,11"
MARUIM-SE,"6.121,01"
ROSARIO DO CATETE-SE,"33.763,17"
SANTO AMARO DAS BROTAS-SE,"4.452,18"
