munic,pe
COARI-AM,1120212
POJUCA-BA,16465
ARACRUZ-ES,0
FUNDAO-ES,0
ITAPEMIRIM-ES,6752
LINHARES-ES,0
MARATAIZES-ES,963
PRESIDENTE KENNEDY-ES,8025995
SERRA-ES,0
VITORIA-ES,0
ARMACAO DOS BUZIOS-RJ,695163
ARRAIAL DO CABO-RJ,43769
CABO FRIO-RJ,4639581
CAMPOS DOS GOYTACAZES-RJ,76582579
CARAPEBUS-RJ,151377
CASIMIRO DE ABREU-RJ,2657790
MACAE-RJ,8233406
QUISSAMA-RJ,4384433
RIO DAS OSTRAS-RJ,15786214
SAO JOAO DA BARRA-RJ,16843652
AREIA BRANCA-RN,78200
MOSSORO-RN,426261
SERRA DO MEL-RN,822
CARMOPOLIS-SE,49749
GENERAL MAYNARD-SE,231
JAPARATUBA-SE,50691
MARUIM-SE,1258
ROSARIO DO CATETE-SE,4402
SANTO AMARO DAS BROTAS-SE,967
