munic,pe
ARMACAO DOS BUZIOS-RJ,"1.435.121,05"
ARRAIAL DO CABO-RJ,"2.588,50"
CABO FRIO-RJ,"9.015.371,37"
CAMPOS DOS GOYTACAZES-RJ,"84.097.136,82"
CARAPEBUS-RJ,"618.896,18"
CASIMIRO DE ABREU-RJ,"1.957.370,06"
MACAE-RJ,"21.546.239,91"
QUISSAMA-RJ,"5.458.301,08"
RIO DAS OSTRAS-RJ,"35.024.776,17"
COARI-AM,"2.106.609,59"
PRESIDENTE KENNEDY-ES,"959.607,23"
SAO JOAO DA BARRA-RJ,"2.015.738,43"
AREIA BRANCA-RN,"205.280,88"
MOSSORO-RN,"1.453.429,91"
POJUCA-BA,"346.892,18"
CARMOPOLIS-SE,"5.282,85"
GENERAL MAYNARD-SE,"23,00"
JAPARATUBA-SE,"7.013,65"
MARUIM-SE,"197,98"
ROSARIO DO CATETE-SE,"514,96"
SANTO AMARO DAS BROTAS-SE,"118,10"
