munic,pe
MARECHAL DEODORO-AL,"0,00"
PILAR-AL,"0,00"
RIO LARGO-AL,"0,00"
SATUBA-AL,"0,00"
COARI-AM,"1.529.543,97"
POJUCA-BA,"116.664,40"
PRESIDENTE KENNEDY-ES,"1.033.416,05"
ARMACAO DOS BUZIOS-RJ,"1.651.098,37"
CABO FRIO-RJ,"14.548.080,02"
CAMPOS DOS GOYTACAZES-RJ,"94.137.049,78"
CARAPEBUS-RJ,"519.393,84"
CASIMIRO DE ABREU-RJ,"5.387.500,99"
MACAE-RJ,"14.508.411,57"
QUISSAMA-RJ,"12.050.348,55"
RIO DAS OSTRAS-RJ,"28.745.629,75"
SAO JOAO DA BARRA-RJ,"1.638.762,25"
AREIA BRANCA-RN,"183.753,68"
MOSSORO-RN,"734.960,59"
CARMOPOLIS-SE,"313.532,50"
GENERAL MAYNARD-SE,"1.900,60"
JAPARATUBA-SE,"346.155,31"
MARUIM-SE,"8.527,38"
ROSARIO DO CATETE-SE,"27.173,29"
SANTO AMARO DAS BROTAS-SE,"6.952,86"
JAGUARE-ES,"39.700,00"
ITAPEMIRIM-ES,"221.632,96"
MARATAIZES-ES,"31.638,15"
ARRAIAL DO CABO-RJ,"17.545,45"
