munic,pe
MARECHAL DEODORO-AL,"15.588,91"
PILAR-AL,"44.456,43"
RIO LARGO-AL,"2.102,68"
SATUBA-AL,"5.118,14"
COARI-AM,"2.035.155,32"
POJUCA-BA,"170.827,07"
JAGUARE-ES,"11.616,67"
PRESIDENTE KENNEDY-ES,"912.835,54"
ARMAÇÃO DOS BUZIOS-RJ,"1.613.694,61"
CABO FRIO-RJ,"12.215.930,31"
CAMPOS DOS GOYTACAZES-RJ,"87.126.924,29"
CARAPEBUS-RJ,"515.014,13"
CASIMIRO DE ABREU-RJ,"4.078.228,48"
MACAE-RJ,"19.653.479,89"
QUISSAMA-RJ,"5.293.106,10"
RIO DAS OSTRAS-RJ,"35.053.988,72"
SÃO JOAO DA BARRA-RJ,"1.917.490,43"
AREIA BRANCA-RN,"242.111,82"
MOSSORO-RN,"1.345.175,55"
CARMOPOLIS-SE,"222.319,78"
GENERAL MAYNARD-SE,"1.338,56"
JAPARATUBA-SE,"283.616,22"
MARUIM-SE,"7.724,34"
ROSARIO DO CATETE-SE,"21.859,46"
SANTO AMARO DAS BROTAS-SE,"4.643,79"
