munic,pe
COARI-AM,"1.915.561,47"
CAIRU-BA,"495.456,97"
ITAPEMIRIM-ES,"11.139.693,07"
MARATAIZES-ES,"2.507.009,11"
PRESIDENTE KENNEDY-ES,"20.215.137,95"
ARMACAO DOS BUZIOS-RJ,"683.239,82"
CABO FRIO-RJ,"4.856.477,23"
CAMPOS DOS GOYTACAZES-RJ,"54.631.759,12"
CARAPEBUS-RJ,"144.827,94"
CASIMIRO DE ABREU-RJ,"1.785.399,80"
MACAE-RJ,"3.374.754,86"
MARICA-RJ,"24.155.092,96"
NITEROI-RJ,"21.264.355,86"
QUISSAMA-RJ,"409.566,19"
RIO DAS OSTRAS-RJ,"7.222.233,64"
RIO DE JANEIRO-RJ,"3.966.779,80"
SAO JOAO DA BARRA-RJ,"16.629.254,80"
AREIA BRANCA-RN,"33.333,34"
MOSSORO-RN,"153.139,06"
SERRA DO MEL-RN,"183,74"
AUGUSTO SEVERO-RN,"130,74"
SANTO ANTONIO DOS LOPES-MA,"340.499,04"
ILHABELA-SP,"14.003.297,54"
IGUAPE-SP,"97.850,57"
ILHA COMPRIDA-SP,"1.276.455,08"
