munic,pe
COARI-AM,"3.986.954,83"
POJUCA-BA,"0,00"
CAIRU-BA,"672.922,20"
PRESIDENTE KENNEDY-ES,"28.483.129,37"
ARMACAO DOS BUZIOS-RJ,4866304
CABO FRIO-RJ,33248336
CAMPOS DOS GOYTACAZES-RJ,"161.374.010,43"
CARAPEBUS-RJ,"416.773,91"
CASIMIRO DE ABREU-RJ,11566007
MACAE-RJ,13249939
PARATI-RJ,478536
QUISSAMA-RJ,"3.520.538,70"
RIO DAS OSTRAS-RJ,36474143
SAO JOAO DA BARRA-RJ,"25.544.445,98"
AREIA BRANCA-RN,"239.852,59"
MOSSORO-RN,"1.034.945,63"
CARMOPOLIS-SE,"326.744,42"
GENERAL MAYNARD-SE,"1.193,54"
JAPARATUBA-SE,"391.031,50"
MARUIM-SE,"7.933,81"
ROSARIO DO CATETE-SE,"45.356,27"
SANTO AMARO DAS BROTAS-SE,"15.262,77"
ITAPEMIRIM-ES,"15.938.692,28"
MARATAIZES-ES,"3.534.215,39"
ARRAIAL DO CABO-RJ,78659
LINHARES-ES,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
PIUMA-ES,"173.550,44"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
SERRA DO MEL-RN,"831,08"
RIO DE JANEIRO-RJ,1563827
NITEROI-RJ,8436174
MARICA-RJ,9583011
