munic,pe
COARI-AM,"1.828.805,36"
CAIRU-BA,"766.814,64"
POJUCA-BA,"14.403,68"
ARACRUZ-ES,"970.465,69"
FUNDAO-ES,"160.799,51"
ITAPEMIRIM-ES,"741.288,56"
LINHARES-ES,"0,00"
MARATAIZES-ES,"106.343,54"
PRESIDENTE KENNEDY-ES,"12.737.724,69"
SERRA-ES,"409.297,68"
VITORIA-ES,"35.362,18"
ARMACAO DOS BUZIOS-RJ,"2.557.893,18"
ARRAIAL DO CABO-RJ,"11.135,68"
CABO FRIO-RJ,"17.433.581,23"
CAMPOS DOS GOYTACAZES-RJ,"121.358.662,38"
CARAPEBUS-RJ,"1.250.894,30"
CASIMIRO DE ABREU-RJ,"5.846.745,97"
MACAE-RJ,"14.547.217,75"
QUISSAMA-RJ,"4.121.560,38"
RIO DAS OSTRAS-RJ,"18.790.418,89"
SAO JOAO DA BARRA-RJ,"25.042.317,87"
AREIA BRANCA-RN,"94.965,37"
MOSSORO-RN,"418.115,11"
SERRA DO MEL-RN,"1.025,97"
CARMOPOLIS-SE,"195.650,02"
GENERAL MAYNARD-SE,"850,00"
JAPARATUBA-SE,"218.092,60"
MARUIM-SE,"5.545,20"
ROSARIO DO CATETE-SE,"15.668,38"
SANTO AMARO DAS BROTAS-SE,"3.792,37"
