munic,pe
COARI-AM,"2.813.641,44"
CAIRU-BA,"525.478,45"
ANCHIETA-ES,"108.345,77"
ITAPEMIRIM-ES,"20.286.039,05"
MARATAIZES-ES,"4.999.278,28"
PIUMA-ES,"134.645,19"
PRESIDENTE KENNEDY-ES,"34.095.654,49"
ARMACAO DOS BUZIOS-RJ,"2.344.895,71"
ARRAIAL DO CABO-RJ,"171.275,91"
CABO FRIO-RJ,"14.862.268,87"
CAMPOS DOS GOYTACAZES-RJ,"103.546.191,38"
CARAPEBUS-RJ,"308.411,72"
CASIMIRO DE ABREU-RJ,"4.430.348,00"
MACAE-RJ,"8.075.600,59"
MARICA-RJ,"27.344.591,83"
NITEROI-RJ,"24.072.154,58"
PARATI-RJ,"1.041.980,67"
QUISSAMA-RJ,"1.332.317,09"
RIO DAS OSTRAS-RJ,"17.903.826,08"
RIO DE JANEIRO-RJ,"4.497.763,32"
SAO JOAO DA BARRA-RJ,"25.219.277,67"
AREIA BRANCA-RN,"86.590,76"
MOSSORO-RN,"412.935,51"
SERRA DO MEL-RN,"375,81"
AUGUSTO SEVERO-RN,"360,83"
CARMOPOLIS-SE,"76.078,73"
GENERAL MAYNARD-SE,"242,87"
JAPARATUBA-SE,"102.086,66"
MARUIM-SE,"2.549,31"
ROSARIO DO CATETE-SE,"10.396,78"
SANTO AMARO DAS BROTAS-SE,"5.163,73"
SANTO ANTONIO DOS LOPES-MA,"0,00"
CARAGUATATUBA-SP,"129.894,84"
ILHABELA-SP,"20.074.366,49"
IGUAPE-SP,"476.718,99"
ILHA COMPRIDA-SP,"2.888.467,18"
PERUIBE-SP,"92.289,04"
UBATUBA-SP,"33.393,07"
