munic,pe
COARI-AM,"1.365.416,34"
CAIRU-BA,"597.549,79"
ITAPEMIRIM-ES,"6.191.481,29"
MARATAIZES-ES,"1.965.126,76"
PRESIDENTE KENNEDY-ES,"7.612.700,03"
CABO FRIO-RJ,"38.125,85"
CAMPOS DOS GOYTACAZES-RJ,"4.476.216,40"
CASIMIRO DE ABREU-RJ,"79.973,60"
MARICA-RJ,"32.993.467,81"
NITEROI-RJ,"29.045.006,85"
QUISSAMA-RJ,"50.426,28"
RIO DAS OSTRAS-RJ,"102.010,04"
RIO DE JANEIRO-RJ,"5.420.663,95"
SAO JOAO DA BARRA-RJ,"1.929.651,57"
SANTO ANTONIO DOS LOPES-MA,"66.695,62"
IGUAPE-SP,"21.990,47"
ILHA COMPRIDA-SP,"286.864,37"
ILHABELA-SP,"20.492.719,73"
