munic,pe
MARECHAL DEODORO-AL,"14.671,64"
PILAR-AL,"44.784,45"
RIO LARGO-AL,"2.234,81"
SATUBA-AL,"5.819,87"
COARI-AM,"2.410.178,73"
POJUCA-BA,"173.241,93"
JAGUARE-ES,-
PRESIDENTE KENNEDY-ES,"642.736,89"
ARMAÇÃO DOS BUZIOS-RJ,"1.848.682,40"
CABO FRIO-RJ,"14.830.134,31"
CAMPOS DOS GOYTACAZES-RJ,"99.101.950,75"
CARAPEBUS-RJ,"572.994,09"
CASIMIRO DE ABREU-RJ,"5.237.114,99"
MACAE-RJ,"23.080.309,38"
QUISSAMA-RJ,"4.757.602,75"
RIO DAS OSTRAS-RJ,"41.758.968,79"
SÃO JOAO DA BARRA-RJ,"1.350.124,72"
AREIA BRANCA-RN,"254.603,39"
MOSSORO-RN,"1.558.315,17"
CARMOPOLIS-SE,"272.817,50"
GENERAL MAYNARD-SE,"1.345,42"
JAPARATUBA-SE,"324.733,09"
MARUIM-SE,"8.618,92"
ROSARIO DO CATETE-SE,"22.369,91"
SANTO AMARO DAS BROTAS-SE,"5.032,27"
