munic,pe
COARI-AM,"1.569.596,30"
CAIRU-BA,"125.509,40"
ITAPEMIRIM-ES,"18.896.681,70"
MARATAIZES-ES,"3.905.416,00"
PRESIDENTE KENNEDY-ES,"25.484.164,52"
ARMACAO DOS BUZIOS-RJ,"629.716,40"
CABO FRIO-RJ,"4.099.935,13"
CAMPOS DOS GOYTACAZES-RJ,"38.300.879,19"
CARAPEBUS-RJ,"74.209,68"
CASIMIRO DE ABREU-RJ,"1.098.373,76"
MACAE-RJ,"2.799.884,02"
MARICA-RJ,"115.710.602,94"
NITEROI-RJ,"101.863.049,82"
QUISSAMA-RJ,"1.013.355,93"
RIO DAS OSTRAS-RJ,"5.882.267,71"
RIO DE JANEIRO-RJ,"18.987.863,63"
SAO JOAO DA BARRA-RJ,"10.083.972,82"
CARAGUATATUBA-SP,"120.438,36"
ILHABELA-SP,"59.143.489,53"
IGUAPE-SP,"163.882,46"
ILHA COMPRIDA-SP,"69.750,31"
PERUIBE-SP,"70.568,01"
UBATUBA-SP,"38.745,08"
