munic,pe
COARI-AM,"2.238.381,89"
CAIRU-BA,"538.366,67"
ITAPEMIRIM-ES,"16.103.073,30"
MARATAIZES-ES,"3.321.473,51"
PIUMA-ES,"0,00"
PRESIDENTE KENNEDY-ES,"29.040.857,14"
ARMACAO DOS BUZIOS-RJ,"895.982,11"
ARRAIAL DO CABO-RJ,"0,00"
CABO FRIO-RJ,"6.493.709,09"
CAMPOS DOS GOYTACAZES-RJ,"77.173.418,98"
CARAPEBUS-RJ,"163.455,57"
CASIMIRO DE ABREU-RJ,"2.647.660,29"
MACAE-RJ,"4.455.031,79"
MARICA-RJ,"29.658.127,78"
NITEROI-RJ,"26.108.820,37"
PARATI-RJ,"0,00"
QUISSAMA-RJ,"898.603,75"
RIO DAS OSTRAS-RJ,"10.003.924,41"
RIO DE JANEIRO-RJ,"4.905.185,76"
SAO JOAO DA BARRA-RJ,"23.556.546,23"
AREIA BRANCA-RN,"60.343,63"
MOSSORO-RN,"280.213,45"
SERRA DO MEL-RN,"544,25"
AUGUSTO SEVERO-RN,"100,61"
CARMOPOLIS-SE,"10.064,42"
GENERAL MAYNARD-SE,"29,61"
JAPARATUBA-SE,"12.866,57"
MARUIM-SE,"429,07"
ROSARIO DO CATETE-SE,"1.465,71"
SANTO AMARO DAS BROTAS-SE,"495,15"
IGUAPE-SP,"261.609,47"
ILHA COMPRIDA-SP,"2.067.412,18"
