munic,pe
COARI-AM,"3.806.680,35"
CAIRU-BA,"609.642,17  "
ANCHIETA-ES,"122.075,07"
ITAPEMIRIM-ES,"21.459.251,45"
MARATAIZES-ES,"4.334.861,67"
PIUMA-ES,"150.512,99"
PRESIDENTE KENNEDY-ES,"38.538.699,61"
ARMACAO DOS BUZIOS-RJ," 4.308.107,07"
CABO FRIO-RJ,"27.157.006,70"
CAMPOS DOS GOYTACAZES-RJ,"157.811.447,06"
CARAPEBUS-RJ,"536.358,06 "
CASIMIRO DE ABREU-RJ,"8.063.882,56"
MACAE-RJ,"15.447.103,46 "
MARICA-RJ,"29.244.753,23 "
NITEROI-RJ,"25.744.916,03"
PARATI-RJ,"2.070.701,31"
QUISSAMA-RJ,"1.971.905,08"
RIO DAS OSTRAS-RJ,"33.700.134,56"
RIO DE JANEIRO-RJ,"4.786.673,50"
SAO JOAO DA BARRA-RJ,"31.262.034,65"
AREIA BRANCA-RN,"173.066,29"
MOSSORO-RN,"810.017,12"
SERRA DO MEL-RN,"2.206,30"
AUGUSTO SEVERO-RN,"584,43"
CARMOPOLIS-SE,"229.427,18"
GENERAL MAYNARD-SE,"880,57"
JAPARATUBA-SE,"303.176,22"
MARUIM-SE,"7.008,99"
ROSARIO DO CATETE-SE,"33.528,59"
SANTO AMARO DAS BROTAS-SE,"11.570,43"
SANTO ANTONIO DOS LOPES-MA,"0,00"
CARAGUATATUBA-SP,"172.268,75"
ILHABELA-SP,"8.261.044,13"
IGUAPE-SP,"1.095.661,45"
ILHA COMPRIDA-SP,"9.876.134,26"
PERUIBE-SP,"122.395,32"
UBATUBA-SP,"44.286,46"
