munic,pe
COARI-AM,"1.704.669,28"
CAIRU-BA,"172.265,81"
POJUCA-BA,"1.241,15"
ARACRUZ-ES,"565.653,35"
FUNDAO-ES,"93.724,88"
ITAPEMIRIM-ES,"1.173.411,60"
LINHARES-ES,"45.811,90"
MARATAIZES-ES,"167.503,73"
PRESIDENTE KENNEDY-ES,"13.628.668,99"
SERRA-ES,"238.566,50"
VITORIA-ES,"20.611,48"
ARMACAO DOS BUZIOS-RJ,"3.008.071,94"
ARRAIAL DO CABO-RJ,"18.466,63"
CABO FRIO-RJ,"20.224.002,28"
CAMPOS DOS GOYTACAZES-RJ,"135.837.708,71"
CARAPEBUS-RJ,"156.755,30"
CASIMIRO DE ABREU-RJ,"6.871.765,19"
MACAE-RJ,"11.231.438,77"
QUISSAMA-RJ,"3.725.112,09"
RIO DAS OSTRAS-RJ,"29.337.000,17"
SAO JOAO DA BARRA-RJ,"25.908.841,28"
AREIA BRANCA-RN,"79.296,99"
MOSSORO-RN,"367.692,48"
SERRA DO MEL-RN,"746,93"
CARMOPOLIS-SE,"195.876,21"
GENERAL MAYNARD-SE,"779,34"
JAPARATUBA-SE,"206.838,48"
MARUIM-SE,"4.928,34"
ROSARIO DO CATETE-SE,"15.755,53"
SANTO AMARO DAS BROTAS-SE,"3.637,33"
