munic,pe
COARI-AM,"4.211.411,68"
POJUCA-BA,"0,00"
CAIRU-BA,"722.093,35"
PRESIDENTE KENNEDY-ES,"30.979.061,27"
ARMACAO DOS BUZIOS-RJ,"5.226.244,05"
CABO FRIO-RJ,"35.358.323,98"
CAMPOS DOS GOYTACAZES-RJ,"161.464.900,57"
CARAPEBUS-RJ,"458.626,73"
CASIMIRO DE ABREU-RJ,"11.480.883,34"
MACAE-RJ,"11.773.877,66"
PARATI-RJ,"31.172,65"
QUISSAMA-RJ,"3.358.422,40"
RIO DAS OSTRAS-RJ,"34.461.268,33"
SAO JOAO DA BARRA-RJ,"25.973.053,94"
AREIA BRANCA-RN,"210.316,86"
MOSSORO-RN,"1.034.063,88"
CARMOPOLIS-SE,"289.319,56"
GENERAL MAYNARD-SE,"1.164,61"
JAPARATUBA-SE,"331.477,25"
MARUIM-SE,"8.272,49"
ROSARIO DO CATETE-SE,"43.353,78"
SANTO AMARO DAS BROTAS-SE,"11.358,96"
ITAPEMIRIM-ES,"17.386.005,27"
MARATAIZES-ES,"3.153.205,71"
ARRAIAL DO CABO-RJ,"5.124,02"
LINHARES-ES,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
PIUMA-ES,"91.672,27"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
AUGUSTO SEVERO-RN,"790,88"
SERRA DO MEL-RN,"2.440,74"
RIO DE JANEIRO-RJ,"1.551.893,53"
NITEROI-RJ,"8.371.793,81"
MARICA-RJ,"9.509.879,31"
