munic,pe
MARECHAL DEODORO-AL,"13.630,80"
PILAR-AL,"45.614,02"
RIO LARGO-AL,"2.724,12"
SATUBA-AL,"6.731,65"
COARI-AM,"2.054.783,36"
POJUCA-BA,"309.686,61"
JAGUARE-ES,"11.261,40"
PRESIDENTE KENNEDY-ES,"1.106.431,44"
ARMAÇÃO DOS BUZIOS-RJ,"1.365.200,43"
CABO FRIO-RJ,"8.610.893,56"
CAMPOS DOS GOYTACAZES-RJ,"79.228.782,24"
CARAPEBUS-RJ,"637.683,17"
CASIMIRO DE ABREU-RJ,"1.885.250,96"
MACAE-RJ,"19.384.373,88"
QUISSAMA-RJ,"5.657.767,80"
RIO DAS OSTRAS-RJ,"31.791.612,00"
SÃO JOAO DA BARRA-RJ,"2.324.155,44"
AREIA BRANCA-RN,"210.467,04"
MOSSORO-RN,"1.294.349,01"
CARMOPOLIS-SE,"153.891,57"
GENERAL MAYNARD-SE,"828,68"
JAPARATUBA-SE,"197.245,71"
MARUIM-SE,"5.432,49"
ROSARIO DO CATETE-SE,"15.320,00"
SANTO AMARO DAS BROTAS-SE,"3.283,04"
