munic,pe
COARI-AM,2203110
POJUCA-BA,81955
ARACRUZ-ES,412186
FUNDAO-ES,68296
ITAPEMIRIM-ES,720075
LINHARES-ES,516609
MARATAIZES-ES,102790
PRESIDENTE KENNEDY-ES,11310414
SERRA-ES,173841
VITORIA-ES,15019
ARMACAO DOS BUZIOS-RJ,2265982
ARRAIAL DO CABO-RJ,259354
CABO FRIO-RJ,13466383
CAMPOS DOS GOYTACAZES-RJ,174485974
CARAPEBUS-RJ,477785
CASIMIRO DE ABREU-RJ,6925667
MACAE-RJ,28432243
QUISSAMA-RJ,12623718
RIO DAS OSTRAS-RJ,50702171
SAO JOAO DA BARRA-RJ,22030005
AREIA BRANCA-RN,245876
MOSSORO-RN,1132474
SERRA DO MEL-RN,3098
CARMOPOLIS-SE,449720
GENERAL MAYNARD-SE,2183
JAPARATUBA-SE,459232
MARUIM-SE,13237
ROSARIO DO CATETE-SE,43656
SANTO AMARO DAS BROTAS-SE,10414
