munic,pe
COARI-AM,1266031
POJUCA-BA,42175
ARACRUZ-ES,0
FUNDAO-ES,0
ITAPEMIRIM-ES,143013
LINHARES-ES,529274
MARATAIZES-ES,20415
PRESIDENTE KENNEDY-ES,7900168
SERRA-ES,0
VITORIA-ES,0
ARMACAO DOS BUZIOS-RJ,848691
ARRAIAL DO CABO-RJ,74369
CABO FRIO-RJ,5148315
CAMPOS DOS GOYTACAZES-RJ,101061292
CARAPEBUS-RJ,164012
CASIMIRO DE ABREU-RJ,3169238
MACAE-RJ,16059459
QUISSAMA-RJ,6543132
RIO DAS OSTRAS-RJ,27693524
SAO JOAO DA BARRA-RJ,16263559
AREIA BRANCA-RN,106212
MOSSORO-RN,579971
SERRA DO MEL-RN,1124
CARMOPOLIS-SE,80339
GENERAL MAYNARD-SE,386
JAPARATUBA-SE,79578
MARUIM-SE,2043
ROSARIO DO CATETE-SE,6845
SANTO AMARO DAS BROTAS-SE,1788
