munic,pe
COARI-AM,"1.554.471,34"
POJUCA-BA,"365,40"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
ITAPEMIRIM-ES,"116.239,46"
LINHARES-ES,"0,00"
MARATAIZES-ES,"16.593,11"
PRESIDENTE KENNEDY-ES,"12.305.913,42"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
ARMACAO DOS BUZIOS-RJ,"1.137.646,01"
ARRAIAL DO CABO-RJ,"60.260,96"
CABO FRIO-RJ,"7.591.588,14"
CAMPOS DOS GOYTACAZES-RJ,"113.012.075,80"
CARAPEBUS-RJ,"225.893,81"
CASIMIRO DE ABREU-RJ,"3.911.835,45"
MACAE-RJ,"11.275.275,01"
QUISSAMA-RJ,"5.676.965,35"
RIO DAS OSTRAS-RJ,"23.608.259,14"
SAO JOAO DA BARRA-RJ,"25.580.258,00"
AREIA BRANCA-RN,"78.879,85"
MOSSORO-RN,"402.121,48"
SERRA DO MEL-RN,"492,73"
CARMOPOLIS-SE,"190.217,29"
GENERAL MAYNARD-SE,"648,16"
JAPARATUBA-SE,"195.410,21"
MARUIM-SE,"4.816,76"
ROSARIO DO CATETE-SE,"15.298,19"
SANTO AMARO DAS BROTAS-SE,"3.727,06"
