munic,pe
COARI-AM,"3.521.685,60"
CAIRU-BA,"0,00"
POJUCA-BA,"0,00"
ARACRUZ-ES,"157.322,21"
FUNDAO-ES,"26.067,21"
ITAPEMIRIM-ES,"10.177.034,24"
LINHARES-ES,"160.855,55"
MARATAIZES-ES,"2.550.479,80"
PIUMA-ES,"152.548,77"
PRESIDENTE KENNEDY-ES,"24.900.665,34"
SERRA-ES,"66.351,26"
VITORIA-ES,"5.732,56"
ARMACAO DOS BUZIOS-RJ,"3.527.765,81"
ARRAIAL DO CABO-RJ,"0,00"
CABO FRIO-RJ,"24.774.818,00"
CAMPOS DOS GOYTACAZES-RJ,"175.656.289,72"
CARAPEBUS-RJ,"873.440,31"
CASIMIRO DE ABREU-RJ,"8.991.626,86"
MACAE-RJ,"22.177.963,98"
QUISSAMA-RJ,"2.899.457,18"
RIO DAS OSTRAS-RJ,"43.918.313,51"
SAO JOAO DA BARRA-RJ,"31.501.811,30"
AREIA BRANCA-RN,"140.466,78"
MOSSORO-RN,"587.244,33"
SERRA DO MEL-RN,"1.185,66"
CARMOPOLIS-SE,"318.416,43"
GENERAL MAYNARD-SE,"1.301,85"
JAPARATUBA-SE,"346.140,84"
MARUIM-SE,"6.725,54"
ROSARIO DO CATETE-SE,"33.639,05"
SANTO AMARO DAS BROTAS-SE,"5.083,91"
