munic,pe
Marechal Deodoro - AL,"17.680,47"
Pilar - AL,"62.257,32"
Rio Largo - AL,"2.344,59"
Satuba - AL,"7.940,72"
Coari - AM,"1.673.705,83"
Pojuca - BA,"219.645,32"
Presidente Kennedy - ES,"816.159,49"
Armação dos Búzios - RJ,"2.318.971,34"
Cabo Frio - RJ,"21.219.914,74"
Campos dos Goytacazes - RJ,"103.805.405,83"
Carapebus - RJ,"477.452,24"
Casimiro de Abreu - RJ,"7.769.230,24"
Macaé - RJ,"19.541.506,53"
Quissamã - RJ,"4.787.153,18"
Rio das Ostras - RJ,"39.775.936,92"
São João da Barra - RJ,"1.714.413,99"
Areia Branca - RN,"221.376,96"
Mossoró - RN,"1.203.070,91"
Carmópolis - SE,"261.599,72"
General Maynard - SE,"1.805,10"
Japaratuba - SE,"332.603,95"
Maruim - SE,"8.118,90"
Rosário do Catete - SE,"28.346,98"
Santo Amaro das Brotas - SE,"5.037,23"
