munic,pe
COARI-AM,"1.756.061,43"
CAIRU-BA,"0,00"
POJUCA-BA,"0,33"
ARACRUZ-ES,"619.607,63"
FUNDAO-ES,"102.664,74"
ITAPEMIRIM-ES,"452.844,92"
LINHARES-ES,"0,00"
MARATAIZES-ES,"64.643,31"
PRESIDENTE KENNEDY-ES,"13.013.227,51"
SERRA-ES,"261.321,93"
VITORIA-ES,"22.577,49"
ARMACAO DOS BUZIOS-RJ,"2.408.894,19"
ARRAIAL DO CABO-RJ,"30.868,82"
CABO FRIO-RJ,"16.442.896,42"
CAMPOS DOS GOYTACAZES-RJ,"138.180.164,91"
CARAPEBUS-RJ,"201.405,98"
CASIMIRO DE ABREU-RJ,"6.099.175,37"
MACAE-RJ,"14.512.265,37"
QUISSAMA-RJ,"5.120.518,12"
RIO DAS OSTRAS-RJ,"32.876.617,25"
SAO JOAO DA BARRA-RJ,"26.285.954,87"
AREIA BRANCA-RN,"111.883,32"
MOSSORO-RN,"453.786,83"
SERRA DO MEL-RN,"1.735,41"
CARMOPOLIS-SE,"240.998,76"
GENERAL MAYNARD-SE,"890,50"
JAPARATUBA-SE,"243.488,44"
MARUIM-SE,"7.145,36"
ROSARIO DO CATETE-SE,"18.962,26"
SANTO AMARO DAS BROTAS-SE,"4.806,29"
