munic,pe
COARI-AM,"1.342.981,51"
CAIRU-BA,"223.599,71"
ITAPEMIRIM-ES,"15.637.735,23"
MARATAIZES-ES,"3.378.181,00"
PRESIDENTE KENNEDY-ES,"20.505.249,26"
CABO FRIO-RJ,"3.434.780,80"
CAMPOS DOS GOYTACAZES-RJ,"24.513.187,68"
CASIMIRO DE ABREU-RJ,"869.731,28"
MARICA-RJ,"2.690.525,12"
NITEROI-RJ,"2.368.539,16"
QUISSAMA-RJ,"343.961,53"
RIO DAS OSTRAS-RJ,"2.719.959,55"
RIO DE JANEIRO-RJ,"439.060,10"
SAO JOAO DA BARRA-RJ,"7.131.223,39"
CARAGUATATUBA-SP,"0,00"
ILHABELA-SP,"0,00"
IGUAPE-SP,"34.107,18"
ILHA COMPRIDA-SP,"444.926,17"
PERUIBE-SP,"0,00"
UBATUBA-SP,"0,00"
