munic,pe
COARI-AM,"2.062.976,65"
CAIRU-BA,"462.882,27"
POJUCA-BA,"0,00"
ARACRUZ-ES,"1.346.907,50"
FUNDAO-ES,"223.173,34"
ITAPEMIRIM-ES,"172.022,48"
LINHARES-ES,"0,00"
MARATAIZES-ES,"24.556,09"
PRESIDENTE KENNEDY-ES,"13.182.959,98"
SERRA-ES,"568.063,48"
VITORIA-ES,"49.079,11"
ARMACAO DOS BUZIOS-RJ,"2.590.588,48"
ARRAIAL DO CABO-RJ,"32.852,18"
CABO FRIO-RJ,"16.701.778,31"
CAMPOS DOS GOYTACAZES-RJ,"137.950.144,86"
CARAPEBUS-RJ,"198.090,24"
CASIMIRO DE ABREU-RJ,"5.144.806,25"
MACAE-RJ,"14.150.772,25"
QUISSAMA-RJ,"4.740.468,66"
RIO DAS OSTRAS-RJ,"32.283.964,41"
SAO JOAO DA BARRA-RJ,"27.293.294,28"
AREIA BRANCA-RN,"88.444,53"
MOSSORO-RN,"384.698,61"
SERRA DO MEL-RN,"918,93"
CARMOPOLIS-SE,"231.543,25"
GENERAL MAYNARD-SE,"1.006,80"
JAPARATUBA-SE,"236.347,16"
MARUIM-SE,"7.042,40"
ROSARIO DO CATETE-SE,"18.003,14"
SANTO AMARO DAS BROTAS-SE,"4.710,60"
