munic,pe
COARI-AM,"1.641.144,62"
POJUCA-BA,"100.946,47"
ITAPEMIRIM-ES,"682.717,48"
MARATAIZES-ES,"97.458,06"
PRESIDENTE KENNEDY-ES,"1.936.561,59"
ARMACAO DOS BUZIOS-RJ,"2.376.469,13"
ARRAIAL DO CABO-RJ,"180.210,18"
CABO FRIO-RJ,"16.147.121,85"
CAMPOS DOS GOYTACAZES-RJ,"112.645.952,65"
CARAPEBUS-RJ,"399.014,18"
CASIMIRO DE ABREU-RJ,"6.381.647,31"
MACAE-RJ,"20.068.167,96"
QUISSAMA-RJ,"11.404.270,81"
RIO DAS OSTRAS-RJ,"38.070.418,28"
SAO JOAO DA BARRA-RJ,"2.429.089,41"
AREIA BRANCA-RN,"248.083,91"
MOSSORO-RN,"974.221,91"
CARMOPOLIS-SE,"381.103,31"
GENERAL MAYNARD-SE,"2.662,98"
JAPARATUBA-SE,"428.210,50"
MARUIM-SE,"10.288,52"
ROSARIO DO CATETE-SE,"37.488,45"
SANTO AMARO DAS BROTAS-SE,"9.741,98"
