munic,pe
COARI-AM,"1.682.091,46"
CAIRU-BA,"482.715,70"
ITAPEMIRIM-ES,"13.539.934,98"
MARATAIZES-ES,"2.805.588,82"
PRESIDENTE KENNEDY-ES,"18.510.405,68"
ARMACAO DOS BUZIOS-RJ,"663.930,41"
CABO FRIO-RJ,"4.241.830,11"
CAMPOS DOS GOYTACAZES-RJ,"28.365.541,08"
CASIMIRO DE ABREU-RJ,"950.276,79"
MACAE-RJ,"1.566.638,29"
MARICA-RJ,"116.035.970,47"
NITEROI-RJ,"102.149.479,31"
QUISSAMA-RJ,"228.481,85"
RIO DAS OSTRAS-RJ,"3.944.997,56"
RIO DE JANEIRO-RJ,"19.041.761,52"
SAO JOAO DA BARRA-RJ,"7.677.889,84"
SANTO ANTONIO DOS LOPES-MA,"54.692,74"
CARAGUATATUBA-SP,"16.993,43"
ILHABELA-SP,"59.533.173,81"
IGUAPE-SP,"59.858,03"
ILHA COMPRIDA-SP,"489.044,75"
PERUIBE-SP,"9.956,90"
UBATUBA-SP,"5.466,79"
