munic,pe
COARI-AM,"4.338.453,08"
POJUCA-BA,"0,00"
CAIRU-BA,"573.490,64"
PRESIDENTE KENNEDY-ES,"31.790.630,84"
ARMACAO DOS BUZIOS-RJ,"5.539.475,09"
CABO FRIO-RJ,"37.207.309,40"
CAMPOS DOS GOYTACAZES-RJ,"188.722.093,82"
CARAPEBUS-RJ,"568.634,23"
CASIMIRO DE ABREU-RJ,"12.378.074,00"
MACAE-RJ,"14.384.364,60"
PARATI-RJ,"612.033,49"
QUISSAMA-RJ,"4.117.389,18"
RIO DAS OSTRAS-RJ,"39.261.301,03"
SAO JOAO DA BARRA-RJ,"33.366.490,67"
AREIA BRANCA-RN,"241.990,19"
MOSSORO-RN,"1.012.590,82"
CARMOPOLIS-SE,"324.030,67"
GENERAL MAYNARD-SE,"904,54"
JAPARATUBA-SE,"392.908,41"
MARUIM-SE,"10.990,53"
ROSARIO DO CATETE-SE,"50.622,04"
SANTO AMARO DAS BROTAS-SE,"11.418,58"
ITAPEMIRIM-ES,"15.304.748,17"
MARATAIZES-ES,"3.268.287,05"
ARRAIAL DO CABO-RJ,"100.603,20"
LINHARES-ES,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
PIUMA-ES,"149.210,54"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
SERRA DO MEL-RN,"2.576,32"
RIO DE JANEIRO-RJ,"1903178,04"
NITEROI-RJ,10266821
MARICA-RJ,"11662522,65"
