munic,pe
COARI-AM,"3.671.026,41"
CAIRU-BA,"311.547,01"
ITAPEMIRIM-ES,"22.279.906,53"
MARATAIZES-ES,"5.022.591,48"
PIUMA-ES,"256.002,40"
PRESIDENTE KENNEDY-ES,"35.819.425,39"
ARMACAO DOS BUZIOS-RJ,"5.589.943,09"
ARRAIAL DO CABO-RJ,"5.567,68"
CABO FRIO-RJ,"38.098.391,06"
CAMPOS DOS GOYTACAZES-RJ,"187.776.383,49"
CARAPEBUS-RJ,"704.748,44"
CASIMIRO DE ABREU-RJ,"13.399.196,51"
MACAE-RJ,"17.563.003,43"
MARICA-RJ,"1.735.055,39"
NITEROI-RJ,"1.527.414,34"
QUISSAMA-RJ,"4.549.833,09"
RIO DAS OSTRAS-RJ,"44.919.323,33"
RIO DE JANEIRO-RJ,"283.139,37"
SAO JOAO DA BARRA-RJ,"28.260.384,14"
AREIA BRANCA-RN,"148.866,64"
MOSSORO-RN,"737.227,70"
SERRA DO MEL-RN,"864,20"
CARMOPOLIS-SE,"398.914,25"
GENERAL MAYNARD-SE,"1.409,20"
JAPARATUBA-SE,"441.694,79"
MARUIM-SE,"7.708,93"
ROSARIO DO CATETE-SE,"43.095,44"
SANTO AMARO DAS BROTAS-SE,"15.618,95"
