munic,pe
MARECHAL DEODORO-AL,"0,00"
PILAR-AL,"0,00"
RIO LARGO-AL,"0,00"
SATUBA-AL,"0,00"
COARI-AM,"1.420.379,67"
POJUCA-BA,"139.848,19"
JAGUARE-ES,"27.199,99"
PRESIDENTE KENNEDY-ES,"741.841,91"
ARMACAO DOS BUZIOS-RJ,"1.424.104,85"
CABO FRIO-RJ,"13.278.682,55"
CAMPOS DOS GOYTACAZES-RJ,"81.504.402,44"
CARAPEBUS-RJ,"527.343,20"
CASIMIRO DE ABREU-RJ,"4.788.508,60"
MACAE-RJ,"11.574.823,61"
QUISSAMA-RJ,"10.907.504,99"
RIO DAS OSTRAS-RJ,"23.717.571,53"
SAO JOAO DA BARRA-RJ,"1.558.303,44"
AREIA BRANCA-RN,"154.792,62"
MOSSORO-RN,"612.781,55"
CARMOPOLIS-SE,"249.159,14"
GENERAL MAYNARD-SE,"1.428,50"
JAPARATUBA-SE,"238.852,41"
MARUIM-SE,"5.623,63"
ROSARIO DO CATETE-SE,"19.983,59"
SANTO AMARO DAS BROTAS-SE,"4.707,20"
