munic,pe
COARI-AM,"1.860.174,53"
CAIRU-BA,"22.363,84"
POJUCA-BA,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
ITAPEMIRIM-ES,"553.650,81"
LINHARES-ES,"0,00"
MARATAIZES-ES,"79.033,29"
PRESIDENTE KENNEDY-ES,"12.995.311,96"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
ARMACAO DOS BUZIOS-RJ,"2.082.286,55"
ARRAIAL DO CABO-RJ,"51.204,76"
CABO FRIO-RJ,"13.971.501,27"
CAMPOS DOS GOYTACAZES-RJ,"136.242.872,06"
CARAPEBUS-RJ,"248.869,93"
CASIMIRO DE ABREU-RJ,"5.635.066,19"
MACAE-RJ,"15.015.066,03"
QUISSAMA-RJ,"5.943.403,46"
RIO DAS OSTRAS-RJ,"32.567.660,96"
SAO JOAO DA BARRA-RJ,"26.014.705,63"
AREIA BRANCA-RN,"114.740,92"
MOSSORO-RN,"501.970,70"
SERRA DO MEL-RN,"566,49"
CARMOPOLIS-SE,"244.882,39"
GENERAL MAYNARD-SE,"844,33"
JAPARATUBA-SE,"253.864,04"
MARUIM-SE,"7.960,90"
ROSARIO DO CATETE-SE,"18.649,06"
SANTO AMARO DAS BROTAS-SE,"4.821,89"
