ANADIA-AL,,,,,AL,,,,,"455,19",,,,,,,,,-,,,,,,"455,19",,,,,,,,"2.073,55",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,,"568,98",,,,,,,,,-,,,,,,"568,98",,,,,,,,"2.591,93",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,,"493,12",,,,,,,,,-,,,,,,"493,12",,,,,,,,"2.246,35",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,,"455,19",,,,,,,,,-,,,,,,"455,19",,,,,,,,"2.073,55",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,,"568,98",,,,,,,,,-,,,,,,"568,98",,,,,,,,"2.591,93",,,,,,,,,,
CAPELA-AL,,,,,AL,,,,,"493,12",,,,,,,,,-,,,,,,"493,12",,,,,,,,"2.246,35",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,,"455,19",,,,,,,,,-,,,,,,"455,19",,,,,,,,"2.073,55",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,,"41.242,89",,,,,,,,,"19.101,19",,,,,,"60.344,08",,,,,,,,"287.886,96",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,,"13.365,56",,,,,,,,,"18.319,17",,,,,,"31.684,73",,,,,,,,"144.334,94",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,,"417,26",,,,,,,,,-,,,,,,"417,26",,,,,,,,"1.900,76",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,,"436,22",,,,,,,,,-,,,,,,"436,22",,,,,,,,"1.987,15",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,,"474,15",,,,,,,,,-,,,,,,"474,15",,,,,,,,"2.159,94",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,,"379,32",,,,,,,,,-,,,,,,"379,32",,,,,,,,"1.727,95",,,,,,,,,,
