ANADIA-AL,,,AL,,,,"454,99",,,,,,,-,,,,,"454,99",,,,,,"3.475,54",,,,,,,,,,,
ATALAIA-AL,,,AL,,,,"583,32",,,,,,,-,,,,,"583,32",,,,,,"4.485,72",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,,"396,66",,,,,,,-,,,,,"396,66",,,,,,"3.039,92",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,,"507,49",,,,,,,-,,,,,"507,49",,,,,,"3.905,34",,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,,"396,66",,,,,,,-,,,,,"396,66",,,,,,"3.039,92",,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,,"472,49",,,,,,,-,,,,,"472,49",,,,,,"3.620,31",,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,,"583,32",,,,,,,-,,,,,"583,32",,,,,,"4.485,72",,,,,,,,,,,
CAPELA-AL,,,AL,,,,"472,49",,,,,,,-,,,,,"472,49",,,,,,"3.620,31",,,,,,,,,,,
CHA PRETA-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,,"454,99",,,,,,,-,,,,,"454,99",,,,,,"3.475,54",,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
CORURIPE-AL,,,AL,,,,"698.141,32",,,,,,,"23.496,66",,,,,"721.637,98",,,,,,"3.965.329,44",,,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,,"13.461,32",,,,,,,"18.809,66",,,,,"32.270,98",,,,,,"247.314,51",,,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,,"414,16",,,,,,,-,,,,,"414,16",,,,,,"3.182,45",,,,,,,,,,,
IBATEGUARA-AL,,,AL,,,,"431,66",,,,,,,-,,,,,"431,66",,,,,,"3.327,20",,,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,,"489,99",,,,,,,-,,,,,"489,99",,,,,,"3.762,81",,,,,,,,,,,
JACUIPE-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
JAPARATINGA-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,,"414,16",,,,,,,-,,,,,"414,16",,,,,,"3.182,45",,,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,,"489,99",,,,,,,-,,,,,"489,99",,,,,,"3.762,81",,,,,,,,,,,
JUNDIA-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
JUNQUEIRO-AL,,,AL,,,,"489,99",,,,,,,-,,,,,"489,99",,,,,,"3.762,81",,,,,,,,,,,
MACEIO-AL,,,AL,,,,"46.494,06",,,,,,,-,,,,,"46.494,06",,,,,,"417.541,07",,,,,,,,,,,
MARAGOGI-AL,,,AL,,,,"489,99",,,,,,,-,,,,,"489,99",,,,,,"3.762,81",,,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,,"97.845,06",,,,,,,"50.553,84",,,,,"148.398,90",,,,,,"934.121,38",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,,"489,99",,,,,,,-,,,,,"489,99",,,,,,"3.762,81",,,,,,,,,,,
MESSIAS-AL,,,AL,,,,"396,66",,,,,,,-,,,,,"396,66",,,,,,"3.039,92",,,,,,,,,,,
MURICI-AL,,,AL,,,,"507,49",,,,,,,-,,,,,"507,49",,,,,,"3.905,34",,,,,,,,,,,
NOVO LINO-AL,,,AL,,,,"396,66",,,,,,,-,,,,,"396,66",,,,,,"3.039,92",,,,,,,,,,,
PARIPUEIRA-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"76.404,65",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,,"414,16",,,,,,,-,,,,,"414,16",,,,,,"3.182,45",,,,,,,,,,,
PENEDO-AL,,,AL,,,,"624,15",,,,,,,-,,,,,"624,15",,,,,,"4.778,83",,,,,,,,,,,
PIACABUCU-AL,,,AL,,,,"454,99",,,,,,,-,,,,,"454,99",,,,,,"3.475,54",,,,,,,,,,,
PILAR-AL,,,AL,,,,"73.110,52",,,,,,,"46.813,91",,,,,"119.924,43",,,,,,"913.258,17",,,,,,,,,,,
PINDOBA-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
PORTO CALVO-AL,,,AL,,,,"489,99",,,,,,,-,,,,,"489,99",,,,,,"3.762,81",,,,,,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,,"396,66",,,,,,,-,,,,,"396,66",,,,,,"3.039,92",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,,"472,49",,,,,,,-,,,,,"472,49",,,,,,"3.620,31",,,,,,,,,,,
RIO LARGO-AL,,,AL,,,,"1.464,56",,,,,,,"542,06",,,,,"2.006,62",,,,,,"27.280,64",,,,,,,,,,,
ROTEIRO-AL,,,AL,,,,"686,52",,,,,,,"198,24",,,,,"884,76",,,,,,"6.289,13",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"40.077,66",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,"396,66",,,,,,,-,,,,,"396,66",,,,,,"3.039,92",,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"489,99",,,,,,,-,,,,,"489,99",,,,,,"3.762,81",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"530,82",,,,,,,-,,,,,"530,82",,,,,,"4.055,94",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"84.720,99",,,,,,,"24.454,31",,,,,"109.175,30",,,,,,"782.216,26",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"379,16",,,,,,,-,,,,,"379,16",,,,,,"2.897,42",,,,,,,,,,,
SATUBA-AL,,,AL,,,,"8.944,61",,,,,,,"5.502,14",,,,,"14.446,75",,,,,,"146.293,59",,,,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,"565,82",,,,,,,-,,,,,"565,82",,,,,,"4.343,20",,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,"624,15",,,,,,,-,,,,,"624,15",,,,,,"4.778,83",,,,,,,,,,,
VICOSA-AL,,,AL,,,,"507,49",,,,,,,-,,,,,"507,49",,,,,,"3.906,45",,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,,-,,,,,,,"3.105,54",,,,,"3.105,54",,,,,,"52.021,46",,,,,,,,,,,
COARI-AM,,,AM,,,,"985.977,60",,,,,,,"814.020,61",,,,,"1.799.998,21",,,,,,"12.301.199,18",,,,,,,,,,,
IRANDUBA-AM,,,AM,,,,-,,,,,,,"3.105,54",,,,,"3.105,54",,,,,,"52.021,46",,,,,,,,,,,
MANAUS-AM,,,AM,,,,"43.390,01",,,,,,,"36.377,07",,,,,"79.767,08",,,,,,"550.064,55",,,,,,,,,,,
ACAJUTIBA-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
ADUSTINA-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
AGUA FRIA-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
AIQUARA-BA,,,BA,,,,"44,79",,,,,,,-,,,,,"44,79",,,,,,"376,03",,,,,,,,,,,
ALAGOINHAS-BA,,,BA,,,,"150.639,77",,,,,,,"78.118,61",,,,,"228.758,38",,,,,,"1.476.965,19",,,,,,,,,,,
AMARGOSA-BA,,,BA,,,,"62,71",,,,,,,-,,,,,"62,71",,,,,,"527,58",,,,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,,"60,60",,,,,,,-,,,,,"60,60",,,,,,"508,32",,,,,,,,,,,
ANAGE-BA,,,BA,,,,"69,56",,,,,,,-,,,,,"69,56",,,,,,"583,56",,,,,,,,,,,
ANGUERA-BA,,,BA,,,,"44,79",,,,,,,-,,,,,"44,79",,,,,,"376,03",,,,,,,,,,,
ANTAS-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,,"47,17",,,,,,,-,,,,,"47,17",,,,,,"395,52",,,,,,,,,,,
APORA-BA,,,BA,,,,"53,75",,,,,,,-,,,,,"53,75",,,,,,"452,37",,,,,,,,,,,
APUAREMA-BA,,,BA,,,,"44,79",,,,,,,-,,,,,"44,79",,,,,,"376,03",,,,,,,,,,,
ARACAS-BA,,,BA,,,,"127.512,83",,,,,,,"56.822,86",,,,,"184.335,69",,,,,,"1.294.701,87",,,,,,,,,,,
ARACI-BA,,,BA,,,,"69,56",,,,,,,-,,,,,"69,56",,,,,,"583,56",,,,,,,,,,,
ARAMARI-BA,,,BA,,,,"44,79",,,,,,,-,,,,,"44,79",,,,,,"376,03",,,,,,,,,,,
ARATUIPE-BA,,,BA,,,,"44,79",,,,,,,-,,,,,"44,79",,,,,,"376,03",,,,,,,,,,,
BAIXA GRANDE-BA,,,BA,,,,"58,23",,,,,,,-,,,,,"58,23",,,,,,"489,97",,,,,,,,,,,
BANZAE-BA,,,BA,,,,"47,17",,,,,,,-,,,,,"47,17",,,,,,"395,52",,,,,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,,"69,56",,,,,,,-,,,,,"69,56",,,,,,"583,56",,,,,,,,,,,
BARROCAS-BA,,,BA,,,,"49,27",,,,,,,-,,,,,"49,27",,,,,,"414,76",,,,,,,,,,,
BELO CAMPO-BA,,,BA,,,,"53,75",,,,,,,-,,,,,"53,75",,,,,,"452,37",,,,,,,,,,,
BIRITINGA-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
BOA NOVA-BA,,,BA,,,,"58,23",,,,,,,-,,,,,"58,23",,,,,,"489,97",,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,,"56,12",,,,,,,-,,,,,"56,12",,,,,,"470,75",,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,,"47,17",,,,,,,-,,,,,"47,17",,,,,,"395,52",,,,,,,,,,,
BREJOES-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
CAATIBA-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,,"51,65",,,,,,,-,,,,,"51,65",,,,,,"433,14",,,,,,,,,,,
CACHOEIRA-BA,,,BA,,,,"62,71",,,,,,,-,,,,,"62,71",,,,,,"527,58",,,,,,,,,,,
CAEM-BA,,,BA,,,,"49,27",,,,,,,-,,,,,"49,27",,,,,,"414,76",,,,,,,,,,,
CAETANOS-BA,,,BA,,,,"49,27",,,,,,,-,,,,,"49,27",,,,,,"414,76",,,,,,,,,,,
CAMACARI-BA,,,BA,,,,"666,39",,,,,,,"242,15",,,,,"908,54",,,,,,"41.833,64",,,,,,,,,,,
CANDEAL-BA,,,BA,,,,"47,17",,,,,,,-,,,,,"47,17",,,,,,"395,52",,,,,,,,,,,
CANDEIAS-BA,,,BA,,,,"127.150,99",,,,,,,"88.574,25",,,,,"215.725,24",,,,,,"2.009.447,14",,,,,,,,,,,
CANDIDO SALES-BA,,,BA,,,,"62,71",,,,,,,-,,,,,"62,71",,,,,,"527,58",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANSANCAO-BA,,,BA,,,,"62,71",,,,,,,-,,,,,"62,71",,,,,,"527,58",,,,,,,,,,,
CANUDOS-BA,,,BA,,,,"49,27",,,,,,,-,,,,,"49,27",,,,,,"414,76",,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,,"47,17",,,,,,,-,,,,,"47,17",,,,,,"395,52",,,,,,,,,,,
CAPIM GROSSO-BA,,,BA,,,,"58,23",,,,,,,-,,,,,"58,23",,,,,,"489,97",,,,,,,,,,,
CARAVELAS-BA,,,BA,,,,-,,,,,,,-,,,,,-,,,,,,"69.605,28",,,,,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,,"67.105,16",,,,,,,"15.327,68",,,,,"82.432,84",,,,,,"534.773,97",,,,,,,,,,,
CASTRO ALVES-BA,,,BA,,,,"60,60",,,,,,,-,,,,,"60,60",,,,,,"508,32",,,,,,,,,,,
CATU-BA,,,BA,,,,"112.234,09",,,,,,,"49.973,72",,,,,"162.207,81",,,,,,"1.325.021,72",,,,,,,,,,,
