ANADIA-AL,,,,,AL,,,"539,42",,,,,,,-,,,,,,"539,42",,,,,,,,"5.476,15",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,"696,75",,,,,,,-,,,,,,"696,75",,,,,,,,"7.073,38",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,"516,94",,,,,,,-,,,,,,"516,94",,,,,,,,"5.247,96",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,"606,85",,,,,,,-,,,,,,"606,85",,,,,,,,"6.160,66",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,"471,99",,,,,,,-,,,,,,"471,99",,,,,,,,"4.791,59",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,"584,37",,,,,,,-,,,,,,"584,37",,,,,,,,"5.932,50",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,"719,23",,,,,,,-,,,,,,"719,23",,,,,,,,"7.301,56",,,,,,,,,,
CAPELA-AL,,,,,AL,,,"539,42",,,,,,,-,,,,,,"539,42",,,,,,,,"5.476,15",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,"584,37",,,,,,,-,,,,,,"584,37",,,,,,,,"5.932,50",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,"71.373,39",,,,,,,"97,27",,,,,,"71.470,66",,,,,,,,"752.535,90",,,,,,,,,,
CORURIPE-AL,,,,,AL,,,"1.189.262,94",,,,,,,"46.082,45",,,,,,"1.235.345,39",,,,,,,,"14.518.442,66",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,"16.260,54",,,,,,,"22.724,11",,,,,,"38.984,65",,,,,,,,"395.769,20",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,"494,47",,,,,,,-,,,,,,"494,47",,,,,,,,"5.019,80",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,"516,94",,,,,,,-,,,,,,"516,94",,,,,,,,"5.247,96",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,"584,37",,,,,,,-,,,,,,"584,37",,,,,,,,"5.932,50",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,"494,47",,,,,,,-,,,,,,"494,47",,,,,,,,"8.584,68",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,"584,37",,,,,,,-,,,,,,"584,37",,,,,,,,"5.932,50",,,,,,,,,,
JUNDIA-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,"584,37",,,,,,,-,,,,,,"584,37",,,,,,,,"5.932,50",,,,,,,,,,
MACEIO-AL,,,,,AL,,,"51.902,36",,,,,,,"16.469,63",,,,,,"68.371,99",,,,,,,,"757.735,61",,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,"629,32",,,,,,,-,,,,,,"629,32",,,,,,,,"6.388,84",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,"952.980,57",,,,,,,"48.567,99",,,,,,"1.001.548,56",,,,,,,,"10.550.212,05",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,"584,37",,,,,,,-,,,,,,"584,37",,,,,,,,"5.932,50",,,,,,,,,,
MESSIAS-AL,,,,,AL,,,"516,94",,,,,,,-,,,,,,"516,94",,,,,,,,"5.247,96",,,,,,,,,,
MURICI-AL,,,,,AL,,,"606,85",,,,,,,-,,,,,,"606,85",,,,,,,,"6.160,66",,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,"494,47",,,,,,,-,,,,,,"494,47",,,,,,,,"5.019,80",,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,"471,99",,,,,,,"6.801,27",,,,,,"7.273,26",,,,,,,,"65.119,47",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,"516,94",,,,,,,-,,,,,,"516,94",,,,,,,,"5.247,96",,,,,,,,,,
PENEDO-AL,,,,,AL,,,"285.643,32",,,,,,,"1,21",,,,,,"285.644,53",,,,,,,,"2.952.620,94",,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,"539,42",,,,,,,-,,,,,,"539,42",,,,,,,,"5.476,15",,,,,,,,,,
PILAR-AL,,,,,AL,,,"195.692,15",,,,,,,"115.209,56",,,,,,"310.901,71",,,,,,,,"2.787.174,42",,,,,,,,,,
PINDOBA-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,"606,85",,,,,,,-,,,,,,"606,85",,,,,,,,"6.160,66",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,"561,90",,,,,,,-,,,,,,"561,90",,,,,,,,"5.704,35",,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,"287.502,62",,,,,,,"1.535,87",,,,,,"289.038,49",,,,,,,,"2.985.191,75",,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,"1.162.357,63",,,,,,,"333,02",,,,,,"1.162.690,65",,,,,,,,"13.743.682,48",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,"457,98",,,,,,,-,,,,,,"457,98",,,,,,,,"361.115,10",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,"471,99",,,,,,,-,,,,,,"471,99",,,,,,,,"4.791,59",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,"584,37",,,,,,,-,,,,,,"584,37",,,,,,,,"5.932,50",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,"651,80",,,,,,,-,,,,,,"651,80",,,,,,,,"6.617,02",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,"1.353.660,64",,,,,,,"155.575,79",,,,,,"1.509.236,43",,,,,,,,"12.709.935,14",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,"449,52",,,,,,,-,,,,,,"449,52",,,,,,,,"4.563,44",,,,,,,,,,
SATUBA-AL,,,,,AL,,,"24.766,03",,,,,,,"15.640,66",,,,,,"40.406,69",,,,,,,,"369.582,55",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,"696,75",,,,,,,-,,,,,,"696,75",,,,,,,,"7.073,38",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,"741,70",,,,,,,-,,,,,,"741,70",,,,,,,,"7.529,71",,,,,,,,,,
VICOSA-AL,,,,,AL,,,"606,85",,,,,,,-,,,,,,"606,85",,,,,,,,"6.160,66",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,"5.613.706,69",,,,,,,"429.038,83",,,,,,"6.042.745,52",,,,,,,,"63.169.674,36",,,,,,,,,,
ANAMA-AM,,,,,AM,,,"41.307,09",,,,,,,"2.219,96",,,,,,"43.527,05",,,,,,,,"459.954,07",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
