ANADIA,,,,AL,,,,"576,62",,,,,-,,,,,,"576,62",,,,,,,"5.466,17",,,,,,,,,
ATALAIA,,,,AL,,,,"744,80",,,,,-,,,,,,"744,80",,,,,,,"7.060,49",,,,,,,,,
BARRA DE SANTO ANTONIO,,,,AL,,,,"504,54",,,,,-,,,,,,"504,54",,,,,,,"4.782,90",,,,,,,,,
BARRA DE SAO MIGUEL,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
BOCA DA MATA,,,,AL,,,,"648,70",,,,,-,,,,,,"648,70",,,,,,,"6.149,46",,,,,,,,,
BRANQUINHA,,,,AL,,,,"504,54",,,,,-,,,,,,"504,54",,,,,,,"4.782,90",,,,,,,,,
CAJUEIRO,,,,AL,,,,"600,64",,,,,-,,,,,,"600,64",,,,,,,"5.693,93",,,,,,,,,
CAMPESTRE,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
CAMPO ALEGRE,,,,AL,,,,"744,80",,,,,-,,,,,,"744,80",,,,,,,"7.060,49",,,,,,,,,
CAPELA,,,,AL,,,,"600,64",,,,,-,,,,,,"600,64",,,,,,,"5.693,93",,,,,,,,,
CHA PRETA,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
COLONIA LEOPOLDINA,,,,AL,,,,"576,62",,,,,-,,,,,,"576,62",,,,,,,"5.466,17",,,,,,,,,
COQUEIRO SECO,,,,AL,,,,"653,36",,,,,"111,49",,,,,,"764,85",,,,,,,"6.661,29",,,,,,,,,
CORURIPE,,,,AL,,,,"817.757,42",,,,,"28.117,49",,,,,,"845.874,91",,,,,,,"7.978.786,40",,,,,,,,,
FELIZ DESERTO,,,,AL,,,,"17.118,50",,,,,"23.923,11",,,,,,"41.041,61",,,,,,,"389.062,81",,,,,,,,,
FLEXEIRAS,,,,AL,,,,"528,57",,,,,-,,,,,,"528,57",,,,,,,"5.010,66",,,,,,,,,
IBATEGUARA,,,,AL,,,,"552,59",,,,,-,,,,,,"552,59",,,,,,,"5.238,41",,,,,,,,,
IGREJA NOVA,,,,AL,,,,"624,67",,,,,-,,,,,,"624,67",,,,,,,"5.921,70",,,,,,,,,
JACUIPE,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
JAPARATINGA,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
JEQUIA DA PRAIA,,,,AL,,,,"528,57",,,,,-,,,,,,"528,57",,,,,,,"5.010,66",,,,,,,,,
JOAQUIM GOMES,,,,AL,,,,"624,67",,,,,-,,,,,,"624,67",,,,,,,"5.921,70",,,,,,,,,
JUNDIA,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
JUNQUEIRO,,,,AL,,,,"624,67",,,,,-,,,,,,"624,67",,,,,,,"5.921,70",,,,,,,,,
MACEIO,,,,AL,,,,"60.597,13",,,,,"14.270,80",,,,,,"74.867,93",,,,,,,"689.154,68",,,,,,,,,
MARAGOGI,,,,AL,,,,"624,67",,,,,-,,,,,,"624,67",,,,,,,"5.921,70",,,,,,,,,
MARECHAL DEODORO,,,,AL,,,,"96.295,33",,,,,"51.497,26",,,,,,"147.792,59",,,,,,,"1.732.328,46",,,,,,,,,
MATRIZ DE CAMARAGIBE,,,,AL,,,,"624,67",,,,,-,,,,,,"624,67",,,,,,,"5.921,70",,,,,,,,,
MESSIAS,,,,AL,,,,"504,54",,,,,-,,,,,,"504,54",,,,,,,"4.782,90",,,,,,,,,
MURICI,,,,AL,,,,"648,70",,,,,-,,,,,,"648,70",,,,,,,"6.149,46",,,,,,,,,
NOVO LINO,,,,AL,,,,"504,54",,,,,-,,,,,,"504,54",,,,,,,"4.782,90",,,,,,,,,
PARIPUEIRA,,,,AL,,,,"480,51",,,,,"8.420,88",,,,,,"8.901,39",,,,,,,"53.165,18",,,,,,,,,
PASSO DE CAMARAGIBE,,,,AL,,,,"528,57",,,,,-,,,,,,"528,57",,,,,,,"5.010,66",,,,,,,,,
PENEDO,,,,AL,,,,"792,85",,,,,-,,,,,,"792,85",,,,,,,"7.516,01",,,,,,,,,
PIACABUCU,,,,AL,,,,"576,62",,,,,-,,,,,,"576,62",,,,,,,"5.466,17",,,,,,,,,
PILAR,,,,AL,,,,"68.710,02",,,,,"43.884,06",,,,,,"112.594,08",,,,,,,"1.567.766,87",,,,,,,,,
PINDOBA,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
PORTO CALVO,,,,AL,,,,"624,67",,,,,-,,,,,,"624,67",,,,,,,"5.921,70",,,,,,,,,
PORTO DE PEDRAS,,,,AL,,,,"504,54",,,,,-,,,,,,"504,54",,,,,,,"4.782,90",,,,,,,,,
PORTO REAL DO COLEGIO,,,,AL,,,,"600,64",,,,,-,,,,,,"600,64",,,,,,,"5.693,93",,,,,,,,,
RIO LARGO,,,,AL,,,,"2.445,88",,,,,"1.066,20",,,,,,"3.512,08",,,,,,,"37.055,98",,,,,,,,,
ROTEIRO,,,,AL,,,,"969,08",,,,,"315,12",,,,,,"1.284,20",,,,,,,"11.573,22",,,,,,,,,
SANTA LUZIA DO NORTE,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
SANTANA DO MUNDAU,,,,AL,,,,"504,54",,,,,-,,,,,,"504,54",,,,,,,"4.782,90",,,,,,,,,
SAO JOSE DA LAJE,,,,AL,,,,"624,67",,,,,-,,,,,,"624,67",,,,,,,"5.921,70",,,,,,,,,
SAO LUIS DO QUITUNDE,,,,AL,,,,"672,72",,,,,-,,,,,,"672,72",,,,,,,"6.377,22",,,,,,,,,
SAO MIGUEL DOS CAMPOS,,,,AL,,,,"174.431,09",,,,,"61.661,00",,,,,,"236.092,09",,,,,,,"1.711.430,08",,,,,,,,,
SAO MIGUEL DOS MILAGRES,,,,AL,,,,"480,51",,,,,-,,,,,,"480,51",,,,,,,"4.555,13",,,,,,,,,
SATUBA,,,,AL,,,,"48.887,39",,,,,"31.191,43",,,,,,"80.078,82",,,,,,,"682.059,89",,,,,,,,,
TEOTONIO VILELA,,,,AL,,,,"720,77",,,,,-,,,,,,"720,77",,,,,,,"6.832,72",,,,,,,,,
UNIAO DOS PALMARES,,,,AL,,,,"792,85",,,,,-,,,,,,"792,85",,,,,,,"7.516,01",,,,,,,,,
VICOSA,,,,AL,,,,"648,70",,,,,-,,,,,,"648,70",,,,,,,"6.149,46",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ALAGOAS,,,,AL,,,,"1.312.155,20",,,,,"264.458,84",,,,,,"1.576.614,04",,,,,,,"15.084.752,33",,,,,,,,,
LARANJAL DO JARI,,,,AP,,,,-,,,,,"4.879,72",,,,,,"4.879,72",,,,,,,"47.988,83",,,,,,,,,
MACAPA,,,,AP,,,,-,,,,,"4.879,72",,,,,,"4.879,72",,,,,,,"47.988,83",,,,,,,,,
MAZAGAO,,,,AP,,,,-,,,,,"4.879,72",,,,,,"4.879,72",,,,,,,"47.988,83",,,,,,,,,
TOTAL AMAPÁ,,,,AP,,,,-,,,,,"14.639,16",,,,,,"14.639,16",,,,,,,"143.966,49",,,,,,,,,
ANAMA,,,,AM,,,,-,,,,,"2.230,61",,,,,,"2.230,61",,,,,,,"20.244,33",,,,,,,,,
ANORI,,,,AM,,,,-,,,,,"2.230,61",,,,,,"2.230,61",,,,,,,"20.244,33",,,,,,,,,
