ANADIA-AL,,,,AL,,,,"901,58",,,,,,,,,-,,,,,,,"901,58",,,,,,,,"7.189,57",,,,,,
ATALAIA-AL,,,,AL,,,,"1.164,54",,,,,,,,,-,,,,,,,"1.164,54",,,,,,,,"9.286,55",,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"788,88",,,,,,,,,-,,,,,,,"788,88",,,,,,,,"6.290,88",,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"751,31",,,,,,,,,-,,,,,,,"751,31",,,,,,,,"5.991,30",,,,,,
BOCA DA MATA-AL,,,,AL,,,,"1.014,27",,,,,,,,,-,,,,,,,"1.014,27",,,,,,,,"8.088,26",,,,,,
BRANQUINHA-AL,,,,AL,,,,"788,88",,,,,,,,,-,,,,,,,"788,88",,,,,,,,"6.290,88",,,,,,
CAJUEIRO-AL,,,,AL,,,,"939,14",,,,,,,,,-,,,,,,,"939,14",,,,,,,,"7.489,12",,,,,,
CAMPESTRE-AL,,,,AL,,,,"751,31",,,,,,,,,-,,,,,,,"751,31",,,,,,,,"5.991,30",,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"1.164,54",,,,,,,,,-,,,,,,,"1.164,54",,,,,,,,"9.286,55",,,,,,
CAPELA-AL,,,,AL,,,,"939,14",,,,,,,,,-,,,,,,,"939,14",,,,,,,,"7.489,12",,,,,,
CHA PRETA-AL,,,,AL,,,,"751,31",,,,,,,,,-,,,,,,,"751,31",,,,,,,,"5.991,30",,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"901,58",,,,,,,,,-,,,,,,,"901,58",,,,,,,,"7.189,57",,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"2.341,67",,,,,,,,,"1.025,78",,,,,,,"3.367,45",,,,,,,,"19.086,55",,,,,,
CORURIPE-AL,,,,AL,,,,"642.586,20",,,,,,,,,"78.952,79",,,,,,,"721.538,99",,,,,,,,"10.909.353,54",,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"27.268,37",,,,,,,,,"37.374,72",,,,,,,"64.643,09",,,,,,,,"514.573,69",,,,,,
FLEXEIRAS-AL,,,,AL,,,,"788,88",,,,,,,,,-,,,,,,,"788,88",,,,,,,,"6.364,08",,,,,,
IBATEGUARA-AL,,,,AL,,,,"864,01",,,,,,,,,-,,,,,,,"864,01",,,,,,,,"6.890,00",,,,,,
IGREJA NOVA-AL,,,,AL,,,,"976,71",,,,,,,,,-,,,,,,,"976,71",,,,,,,,"7.788,70",,,,,,
JACUIPE-AL,,,,AL,,,,"751,31",,,,,,,,,-,,,,,,,"751,31",,,,,,,,"5.991,30",,,,,,
JAPARATINGA-AL,,,,AL,,,,"751,31",,,,,,,,,-,,,,,,,"751,31",,,,,,,,"5.991,30",,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,"2.020,46",,,,,,,,,"501,49",,,,,,,"2.521,95",,,,,,,,"65.883,40",,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"976,71",,,,,,,,,-,,,,,,,"976,71",,,,,,,,"7.788,70",,,,,,
JUNDIA-AL,,,,AL,,,,"751,31",,,,,,,,,-,,,,,,,"751,31",,,,,,,,"5.991,30",,,,,,
JUNQUEIRO-AL,,,,AL,,,,"976,71",,,,,,,,,-,,,,,,,"976,71",,,,,,,,"7.788,70",,,,,,
MACEIO-AL,,,,AL,,,,"82.918,61",,,,,,,,,"15.581,33",,,,,,,"98.499,94",,,,,,,,"1.046.307,54",,,,,,
MARAGOGI-AL,,,,AL,,,,"976,71",,,,,,,,,-,,,,,,,"976,71",,,,,,,,"7.788,70",,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"143.890,65",,,,,,,,,"120.355,53",,,,,,,"264.246,18",,,,,,,,"2.816.649,29",,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"1.014,27",,,,,,,,,-,,,,,,,"1.014,27",,,,,,,,"8.015,04",,,,,,
MESSIAS-AL,,,,AL,,,,"788,88",,,,,,,,,-,,,,,,,"788,88",,,,,,,,"6.290,88",,,,,,
MURICI-AL,,,,AL,,,,"1.014,27",,,,,,,,,-,,,,,,,"1.014,27",,,,,,,,"8.088,26",,,,,,
NOVO LINO-AL,,,,AL,,,,"788,88",,,,,,,,,-,,,,,,,"788,88",,,,,,,,"6.290,88",,,,,,
PARIPUEIRA-AL,,,,AL,,,,"751,31",,,,,,,,,"6.602,23",,,,,,,"7.353,54",,,,,,,,"83.810,16",,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,"826,44",,,,,,,,,-,,,,,,,"826,44",,,,,,,,"6.590,42",,,,,,
PENEDO-AL,,,,AL,,,,"1.239,67",,,,,,,,,-,,,,,,,"1.239,67",,,,,,,,"9.885,67",,,,,,
PIACABUCU-AL,,,,AL,,,,"901,58",,,,,,,,,-,,,,,,,"901,58",,,,,,,,"7.189,57",,,,,,
PILAR-AL,,,,AL,,,,"249.147,29",,,,,,,,,"160.021,56",,,,,,,"409.168,85",,,,,,,,"3.167.382,22",,,,,,
PINDOBA-AL,,,,AL,,,,"751,31",,,,,,,,,-,,,,,,,"751,31",,,,,,,,"5.991,30",,,,,,
PORTO CALVO-AL,,,,AL,,,,"976,71",,,,,,,,,-,,,,,,,"976,71",,,,,,,,"7.788,70",,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,"788,88",,,,,,,,,-,,,,,,,"788,88",,,,,,,,"6.290,88",,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,"939,14",,,,,,,,,-,,,,,,,"939,14",,,,,,,,"7.489,12",,,,,,
