PINDOBA-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"803,37",,,,,,,,,,-,,,,,,,,"803,37",,,,,,,,,"4.165,45",,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,"648,87",,,,,,,,,,-,,,,,,,,"648,87",,,,,,,,,"3.364,39",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"772,47",,,,,,,,,,-,,,,,,,,"772,47",,,,,,,,,"4.005,23",,,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"11.861,57",,,,,,,,,,"6.993,03",,,,,,,,"18.854,60",,,,,,,,,"80.677,97",,,,,,,,
ROTEIRO-AL,,,,,AL,,,,,"1.101,53",,,,,,,,,,"311,89",,,,,,,,"1.413,42",,,,,,,,,"6.510,34",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"2.397,52",,,,,,,,,,"1.147,81",,,,,,,,"3.545,33",,,,,,,,,"6.131,53",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"648,87",,,,,,,,,,-,,,,,,,,"648,87",,,,,,,,,"3.364,39",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"803,37",,,,,,,,,,-,,,,,,,,"803,37",,,,,,,,,"4.165,45",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"865,16",,,,,,,,,,-,,,,,,,,"865,16",,,,,,,,,"4.485,86",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"310.784,70",,,,,,,,,,"211.746,11",,,,,,,,"522.530,81",,,,,,,,,"2.619.617,61",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"617,97",,,,,,,,,,-,,,,,,,,"617,97",,,,,,,,,"3.204,17",,,,,,,,
SATUBA-AL,,,,,AL,,,,,"52.118,73",,,,,,,,,,"33.178,13",,,,,,,,"85.296,86",,,,,,,,,"337.555,58",,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,,"926,96",,,,,,,,,,-,,,,,,,,"926,96",,,,,,,,,"4.806,28",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"1.019,66",,,,,,,,,,-,,,,,,,,"1.019,66",,,,,,,,,"5.286,92",,,,,,,,
VICOSA-AL,,,,,AL,,,,,"834,27",,,,,,,,,,-,,,,,,,,"834,27",,,,,,,,,"4.325,66",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"1.816.344,00",,,,,,,,,,"592.368,93",,,,,,,,"2.408.712,93",,,,,,,,,"11.578.311,56",,,,,,,,
ANAMA-AM,,,,,AM,,,,,-,,,,,,,,,,"2.063,81",,,,,,,,"2.063,81",,,,,,,,,"10.091,05",,,,,,,,
ANORI-AM,,,,,AM,,,,,-,,,,,,,,,,"2.063,81",,,,,,,,"2.063,81",,,,,,,,,"10.091,05",,,,,,,,
AUTAZES-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
BERURI-AM,,,,,AM,,,,,-,,,,,,,,,,"2.063,81",,,,,,,,"2.063,81",,,,,,,,,"10.091,05",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
CAREIRO-AM,,,,,AM,,,,,-,,,,,,,,,,"2.063,81",,,,,,,,"2.063,81",,,,,,,,,"10.091,05",,,,,,,,
COARI-AM,,,,,AM,,,,,"1.709.759,71",,,,,,,,,,"1.602.535,66",,,,,,,,"3.312.295,37",,,,,,,,,"15.626.042,83",,,,,,,,
