PORTO REAL DO COLEGIO-AL,,,AL,,,,,"695,68",,,,,,,,-,,,,,,,"695,68",,,,,,,,"3.225,23",,,,,,,,
RIO LARGO-AL,,,AL,,,,,"12.584,60",,,,,,,,"7.524,76",,,,,,,"20.109,36",,,,,,,,"81.009,02",,,,,,,,
ROTEIRO-AL,,,AL,,,,,"685,52",,,,,,,,"83,19",,,,,,,"768,71",,,,,,,,"3.468,21",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,,"584,37",,,,,,,,-,,,,,,,"584,37",,,,,,,,"2.709,19",,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,,"723,51",,,,,,,,-,,,,,,,"723,51",,,,,,,,"3.354,23",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,,"779,16",,,,,,,,-,,,,,,,"779,16",,,,,,,,"3.612,25",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,,"198.524,13",,,,,,,,"113.801,80",,,,,,,"312.325,93",,,,,,,,"1.305.740,74",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,,"556,54",,,,,,,,-,,,,,,,"556,54",,,,,,,,"2.580,17",,,,,,,,
SATUBA-AL,,,AL,,,,,"30.224,07",,,,,,,,"19.099,66",,,,,,,"49.323,73",,,,,,,,"214.459,11",,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,,"834,82",,,,,,,,-,,,,,,,"834,82",,,,,,,,"3.870,27",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,,"918,30",,,,,,,,-,,,,,,,"918,30",,,,,,,,"4.257,30",,,,,,,,
VICOSA-AL,,,AL,,,,,"751,33",,,,,,,,-,,,,,,,"751,33",,,,,,,,"3.483,23",,,,,,,,
TOTAL ALAGOAS,,,,,,,,"1.598.837,20",,,,,,,,"478.218,91",,,,,,,"2.077.056,11",,,,,,,,"8.598.770,45",,,,,,,,
ANAMA-AM,,,AM,,,,,-,,,,,,,,"2.056,58",,,,,,,"2.056,58",,,,,,,,"8.185,66",,,,,,,,
ANORI-AM,,,AM,,,,,-,,,,,,,,"2.056,58",,,,,,,"2.056,58",,,,,,,,"8.185,66",,,,,,,,
AUTAZES-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
BERURI-AM,,,AM,,,,,-,,,,,,,,"2.056,58",,,,,,,"2.056,58",,,,,,,,"8.185,66",,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
CAREIRO-AM,,,AM,,,,,-,,,,,,,,"2.056,58",,,,,,,"2.056,58",,,,,,,,"8.185,66",,,,,,,,
COARI-AM,,,AM,,,,,"1.615.086,21",,,,,,,,"1.471.798,61",,,,,,,"3.086.884,82",,,,,,,,"13.307.274,98",,,,,,,,
