SANTA LUZIA DO NORTE-AL,,,,AL,,,"391,97",,,,,,-,,,,,,"391,97",,,,,,"40.904,65",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,"411,57",,,,,,-,,,,,,"411,57",,,,,,"3.908,26",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,"509,57",,,,,,-,,,,,,"509,57",,,,,,"4.837,90",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,"548,76",,,,,,-,,,,,,"548,76",,,,,,"5.213,72",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,"102.169,19",,,,,,"28.360,00",,,,,,"130.529,19",,,,,,"1.034.294,38",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,"391,97",,,,,,-,,,,,,"391,97",,,,,,"3.724,41",,,,,,,,,,
SATUBA-AL,,,,AL,,,"23.428,13",,,,,,"14.833,04",,,,,,"38.261,17",,,,,,"200.709,54",,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,"587,96",,,,,,-,,,,,,"587,96",,,,,,"5.583,69",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,"646,76",,,,,,-,,,,,,"646,76",,,,,,"6.143,37",,,,,,,,,,
VICOSA-AL,,,,AL,,,"529,17",,,,,,-,,,,,,"529,17",,,,,,"5.022,89",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,-,,,,,,"4.798,49",,,,,,"4.798,49",,,,,,"60.369,66",,,,,,,,,,
COARI-AM,,,,AM,,,"1.304.089,47",,,,,,"1.129.288,64",,,,,,"2.433.378,11",,,,,,"16.948.957,02",,,,,,,,,,
IRANDUBA-AM,,,,AM,,,-,,,,,,"4.798,49",,,,,,"4.798,49",,,,,,"60.369,66",,,,,,,,,,
MANAUS-AM,,,,AM,,,"55.341,34",,,,,,"50.171,93",,,,,,"105.513,27",,,,,,"739.196,99",,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
ADUSTINA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
AGUAFRIA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
AIQUARA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,"192.497,01",,,,,,"102.613,84",,,,,,"295.110,85",,,,,,"2.026.962,50",,,,,,,,,,
AMARGOSA-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
ANAGE-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,19",,,,,,,,,,
ANGUERA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ANTAS-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
APORA-BA,,,,BA,,,"62,71",,,,,,-,,,,,,"62,71",,,,,,"574,40",,,,,,,,,,
APUAREMA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ARACAS-BA,,,,BA,,,"162.615,90",,,,,,"72.321,33",,,,,,"234.937,23",,,,,,"1.740.052,87",,,,,,,,,,
ARACI-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,19",,,,,,,,,,
ARAMARI-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ARATUIPE-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
BANZAE-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,19",,,,,,,,,,
BARROCAS-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,"62,71",,,,,,-,,,,,,"62,71",,,,,,"574,40",,,,,,,,,,
BIRITINGA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
BOA NOVA-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,87",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
BREJOES-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
CAATIBA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
CAEM-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
CAETANOS-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
CAMACARI-BA,,,,BA,,,"682,78",,,,,,"242,87",,,,,,"925,64",,,,,,"43.819,29",,,,,,,,,,
CANDEAL-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
CANDEIAS-BA,,,,BA,,,"147.244,21",,,,,,"137.150,64",,,,,,"284.394,84",,,,,,"2.576.999,51",,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANSANCAO-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
CANUDOS-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
