ANADIA-AL,,,,,,,,,AL,,"154,23",,,,,-,,,,,,"154,23",,,,,,,"3.000,42",,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"199,22",,,,,-,,,,,,"199,22",,,,,,,"3.875,56",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"147,81",,,,,-,,,,,,"147,81",,,,,,,"2.875,40",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"173,51",,,,,-,,,,,,"173,51",,,,,,,"3.375,47",,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"134,95",,,,,-,,,,,,"134,95",,,,,,,"2.625,36",,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"167,09",,,,,-,,,,,,"167,09",,,,,,,"3.250,45",,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"205,65",,,,,-,,,,,,"205,65",,,,,,,"4.000,57",,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"154,23",,,,,-,,,,,,"154,23",,,,,,,"3.000,42",,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"167,09",,,,,-,,,,,,"167,09",,,,,,,"3.250,45",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"84.068,37",,,,,"408,73",,,,,,"84.477,10",,,,,,,"761.569,71",,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"1.674.994,90",,,,,"17.203,74",,,,,,"1.692.198,64",,,,,,,"12.234.096,76",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"4.649,41",,,,,"6.497,55",,,,,,"11.146,96",,,,,,,"216.844,80",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"141,38",,,,,-,,,,,,"141,38",,,,,,,"2.750,38",,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"147,81",,,,,-,,,,,,"147,81",,,,,,,"2.875,40",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"167,09",,,,,-,,,,,,"167,09",,,,,,,"3.250,45",,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"2.293,08",,,,,"903,71",,,,,,"3.196,79",,,,,,,"36.620,11",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"167,09",,,,,-,,,,,,"167,09",,,,,,,"3.250,45",,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,"167,09",,,,,-,,,,,,"167,09",,,,,,,"3.250,45",,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,"100.857,02",,,,,"23.939,61",,,,,,"124.796,63",,,,,,,"1.125.221,05",,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,"179,94",,,,,-,,,,,,"179,94",,,,,,,"3.500,50",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,"41.307,22",,,,,"34.123,94",,,,,,"75.431,16",,,,,,,"1.075.452,67",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,"167,09",,,,,-,,,,,,"167,09",,,,,,,"3.250,45",,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,"147,81",,,,,-,,,,,,"147,81",,,,,,,"2.875,40",,,,,,,,,
MURICI-AL,,,,,,,,,AL,,"726,60",,,,,"356,74",,,,,,"1.083,34",,,,,,,"4.285,30",,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,"141,38",,,,,-,,,,,,"141,38",,,,,,,"2.750,38",,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,"134,95",,,,,"8.179,79",,,,,,"8.314,74",,,,,,,"78.334,21",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,"147,81",,,,,-,,,,,,"147,81",,,,,,,"2.875,40",,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,"154,23",,,,,-,,,,,,"154,23",,,,,,,"3.000,42",,,,,,,,,
PILAR-AL,,,,,,,,,AL,,"130.512,92",,,,,"85.778,07",,,,,,"216.290,99",,,,,,,"2.514.310,08",,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,"173,51",,,,,-,,,,,,"173,51",,,,,,,"3.375,47",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,"160,66",,,,,-,,,,,,"160,66",,,,,,,"3.125,43",,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,"4.241,58",,,,,"2.594,89",,,,,,"6.836,47",,,,,,,"81.434,91",,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,"84.404,89",,,,,"890,88",,,,,,"85.295,77",,,,,,,"775.198,49",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,"83.925,34",,,,,"305,79",,,,,,"84.231,13",,,,,,,"761.234,37",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,"134,95",,,,,-,,,,,,"134,95",,,,,,,"2.625,36",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,"167,09",,,,,-,,,,,,"167,09",,,,,,,"3.250,45",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,"186,37",,,,,-,,,,,,"186,37",,,,,,,"3.625,53",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,"269.970,53",,,,,"168.330,07",,,,,,"438.300,60",,,,,,,"3.862.528,30",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,"128,53",,,,,-,,,,,,"128,53",,,,,,,"2.500,34",,,,,,,,,
SATUBA-AL,,,,,,,,,AL,,"19.083,95",,,,,"12.309,15",,,,,,"31.393,10",,,,,,,"210.374,15",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,"199,22",,,,,-,,,,,,"199,22",,,,,,,"3.875,56",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,"212,07",,,,,-,,,,,,"212,07",,,,,,,"4.125,58",,,,,,,,,
VICOSA-AL,,,,,,,,,AL,,"173,51",,,,,-,,,,,,"173,51",,,,,,,"3.375,47",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"2.506.967,41",,,,,"361.822,66",,,,,,"2.868.790,07",,,,,,,"23.850.270,60",,,,,,,,,
ANAMA-AM,,,,,,,,,AM,,-,,,,,"3.483,14",,,,,,"3.483,14",,,,,,,"29.693,42",,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORI-AM,,,,,,,,,AM,,-,,,,,"3.483,14",,,,,,"3.483,14",,,,,,,"29.693,42",,,,,,,,,
AUTAZES-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
BERURI-AM,,,,,,,,,AM,,-,,,,,"3.483,14",,,,,,"3.483,14",,,,,,,"29.693,42",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
CAREIRO-AM,,,,,,,,,AM,,-,,,,,"3.483,14",,,,,,"3.483,14",,,,,,,"29.693,42",,,,,,,,,
COARI-AM,,,,,,,,,AM,,"3.071.052,93",,,,,"2.935.829,49",,,,,,"6.006.882,42",,,,,,,"49.628.360,29",,,,,,,,,
CODAJAS-AM,,,,,,,,,AM,,-,,,,,"3.483,14",,,,,,"3.483,14",,,,,,,"29.693,42",,,,,,,,,
IRANDUBA-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
ITACOATIARA-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
ITAPIRANGA-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
MANACAPURU-AM,,,,,,,,,AM,,-,,,,,"3.483,14",,,,,,"3.483,14",,,,,,,"29.693,42",,,,,,,,,
MANAQUIRI-AM,,,,,,,,,AM,,-,,,,,"3.483,14",,,,,,"3.483,14",,,,,,,"29.693,42",,,,,,,,,
MANAUS-AM,,,,,,,,,AM,,"84.229,48",,,,,"44.452,24",,,,,,"128.681,72",,,,,,,"16.958.233,88",,,,,,,,,
PARINTINS-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
SILVES-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
TEFE-AM,,,,,,,,,AM,,"140.941,63",,,,,"51.696,27",,,,,,"192.637,90",,,,,,,"1.157.751,19",,,,,,,,,
URUCARA-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
URUCURITUBA-AM,,,,,,,,,AM,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,"3.296.224,04",,,,,"3.106.780,05",,,,,,"6.403.004,09",,,,,,,"68.633.281,41",,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,AP,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
MACAPA-AP,,,,,,,,,AP,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
MAZAGAO-AP,,,,,,,,,AP,,-,,,,,"5.602,23",,,,,,"5.602,23",,,,,,,"75.675,79",,,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,-,,,,,"16.806,69",,,,,,"16.806,69",,,,,,,"227.027,37",,,,,,,,,
ACAJUTIBA-BA,,,,,,,,,BA,,"1.323,92",,,,,-,,,,,,"1.323,92",,,,,,,"10.106,99",,,,,,,,,
ADUSTINA-BA,,,,,,,,,BA,,"1.323,92",,,,,-,,,,,,"1.323,92",,,,,,,"10.106,99",,,,,,,,,
AGUA FRIA-BA,,,,,,,,,BA,,"1.323,92",,,,,-,,,,,,"1.323,92",,,,,,,"10.106,99",,,,,,,,,
AIQUARA-BA,,,,,,,,,BA,,"1.151,23",,,,,-,,,,,,"1.151,23",,,,,,,"8.788,67",,,,,,,,,
ALAGOINHAS-BA,,,,,,,,,BA,,"460.996,82",,,,,"275.204,24",,,,,,"736.201,06",,,,,,,"6.671.570,58",,,,,,,,,
