ANADIA,,,AL,,,,,,"845,01",,,,,-,,,,,,"845,01",,,,,,,"4.604,31",,,,,,,,
ATALAIA,,,AL,,,,,,"1.091,47",,,,,-,,,,,,"1.091,47",,,,,,,"5.947,26",,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,,,"739,38",,,,,-,,,,,,"739,38",,,,,,,"4.028,78",,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,,,"704,17",,,,,-,,,,,,"704,17",,,,,,,"3.836,93",,,,,,,,
BOCA DA MATA,,,AL,,,,,,"950,63",,,,,-,,,,,,"950,63",,,,,,,"5.179,85",,,,,,,,
BRANQUINHA,,,AL,,,,,,"739,38",,,,,-,,,,,,"739,38",,,,,,,"4.028,78",,,,,,,,
CAJUEIRO,,,AL,,,,,,"880,21",,,,,-,,,,,,"880,21",,,,,,,"4.796,15",,,,,,,,
CAMPESTRE,,,AL,,,,,,"704,17",,,,,-,,,,,,"704,17",,,,,,,"3.836,93",,,,,,,,
CAMPO ALEGRE,,,AL,,,,,,"1.091,47",,,,,-,,,,,,"1.091,47",,,,,,,"5.947,26",,,,,,,,
CAPELA,,,AL,,,,,,"880,21",,,,,-,,,,,,"880,21",,,,,,,"4.796,15",,,,,,,,
CHA PRETA,,,AL,,,,,,"704,17",,,,,-,,,,,,"704,17",,,,,,,"3.836,93",,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,,,"845,01",,,,,-,,,,,,"845,01",,,,,,,"4.604,31",,,,,,,,
COQUEIRO SECO,,,AL,,,,,,"1.794,52",,,,,"703,28",,,,,,"2.497,80",,,,,,,"11.583,55",,,,,,,,
CORURIPE,,,AL,,,,,,"932.822,41",,,,,"75.121,36",,,,,,"1.007.943,77",,,,,,,"7.817.354,41",,,,,,,,
FELIZ DESERTO,,,AL,,,,,,"25.557,41",,,,,"35.029,63",,,,,,"60.587,04",,,,,,,"329.210,58",,,,,,,,
FLEXEIRAS,,,AL,,,,,,"739,38",,,,,-,,,,,,"739,38",,,,,,,"4.101,98",,,,,,,,
IBATEGUARA,,,AL,,,,,,"809,80",,,,,-,,,,,,"809,80",,,,,,,"4.412,47",,,,,,,,
IGREJA NOVA,,,AL,,,,,,"915,42",,,,,-,,,,,,"915,42",,,,,,,"4.988,00",,,,,,,,
JACUIPE,,,AL,,,,,,"704,17",,,,,-,,,,,,"704,17",,,,,,,"3.836,93",,,,,,,,
JAPARATINGA,,,AL,,,,,,"704,17",,,,,-,,,,,,"704,17",,,,,,,"3.836,93",,,,,,,,
JEQUIA DA PRAIA,,,AL,,,,,,"1.930,78",,,,,"485,59",,,,,,"2.416,37",,,,,,,"58.981,40",,,,,,,,
JOAQUIM GOMES,,,AL,,,,,,"915,42",,,,,-,,,,,,"915,42",,,,,,,"4.988,00",,,,,,,,
JUNDIA,,,AL,,,,,,"704,17",,,,,-,,,,,,"704,17",,,,,,,"3.836,93",,,,,,,,
JUNQUEIRO,,,AL,,,,,,"915,42",,,,,-,,,,,,"915,42",,,,,,,"4.988,00",,,,,,,,
MACEIO,,,AL,,,,,,"79.334,58",,,,,"14.329,41",,,,,,"93.663,99",,,,,,,"742.951,85",,,,,,,,
MARAGOGI,,,AL,,,,,,"915,42",,,,,-,,,,,,"915,42",,,,,,,"4.988,00",,,,,,,,
MARECHAL DEODORO,,,AL,,,,,,"125.839,78",,,,,"101.476,39",,,,,,"227.316,17",,,,,,,"2.027.676,02",,,,,,,,
MATRIZ DE CAMARAGIBE,,,AL,,,,,,"950,63",,,,,-,,,,,,"950,63",,,,,,,"5.106,63",,,,,,,,
MESSIAS,,,AL,,,,,,"739,38",,,,,-,,,,,,"739,38",,,,,,,"4.028,78",,,,,,,,
MURICI,,,AL,,,,,,"950,63",,,,,-,,,,,,"950,63",,,,,,,"5.179,85",,,,,,,,
NOVO LINO,,,AL,,,,,,"739,38",,,,,-,,,,,,"739,38",,,,,,,"4.028,78",,,,,,,,
PARIPUEIRA,,,AL,,,,,,"704,17",,,,,"6.216,67",,,,,,"6.920,84",,,,,,,"57.768,82",,,,,,,,
PASSO DE CAMARAGIBE,,,AL,,,,,,"774,59",,,,,-,,,,,,"774,59",,,,,,,"4.220,61",,,,,,,,
