ANADIA-AL,,,,,,,,,AL,,,"793,42",,,,,,,-,,,,,,"793,42",,,,,,"1.582,63",,,,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"1.024,84",,,,,,,-,,,,,,"1.024,84",,,,,,"2.044,23",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"760,37",,,,,,,-,,,,,,"760,37",,,,,,"1.516,69",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"892,60",,,,,,,-,,,,,,"892,60",,,,,,"1.780,46",,,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"694,25",,,,,,,-,,,,,,"694,25",,,,,,"1.384,81",,,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"859,54",,,,,,,-,,,,,,"859,54",,,,,,"1.714,51",,,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"1.057,90",,,,,,,-,,,,,,"1.057,90",,,,,,"2.110,18",,,,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"793,42",,,,,,,-,,,,,,"793,42",,,,,,"1.582,63",,,,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"859,54",,,,,,,-,,,,,,"859,54",,,,,,"1.714,51",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"102.267,29",,,,,,,"336,95",,,,,,"102.604,24",,,,,,"196.411,92",,,,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"2.012.866,50",,,,,,,"75.557,43",,,,,,"2.088.423,93",,,,,,"4.063.427,97",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"23.917,33",,,,,,,"33.424,47",,,,,,"57.341,80",,,,,,"114.378,76",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"727,31",,,,,,,-,,,,,,"727,31",,,,,,"1.450,75",,,,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"760,37",,,,,,,-,,,,,,"760,37",,,,,,"1.516,69",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"859,54",,,,,,,-,,,,,,"859,54",,,,,,"1.714,51",,,,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,"3.716,28",,,,,,,"1.255,36",,,,,,"4.971,64",,,,,,"9.748,71",,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,"859,54",,,,,,,-,,,,,,"859,54",,,,,,"1.714,51",,,,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,"859,54",,,,,,,-,,,,,,"859,54",,,,,,"1.714,51",,,,,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,,"118.855,77",,,,,,,"30.152,42",,,,,,"149.008,19",,,,,,"280.458,23",,,,,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,,"925,66",,,,,,,-,,,,,,"925,66",,,,,,"1.846,40",,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,,"48.094,87",,,,,,,"43.517,73",,,,,,"91.612,60",,,,,,"177.292,77",,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,,"859,54",,,,,,,-,,,,,,"859,54",,,,,,"1.714,51",,,,,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,,"760,37",,,,,,,-,,,,,,"760,37",,,,,,"1.516,69",,,,,,,,,,,,
MURICI-AL,,,,,,,,,AL,,,"3.230,29",,,,,,,"1.507,81",,,,,,"4.738,10",,,,,,"9.060,33",,,,,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,,"727,31",,,,,,,-,,,,,,"727,31",,,,,,"1.450,75",,,,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,,"694,25",,,,,,,"13.379,87",,,,,,"14.074,12",,,,,,"20.456,80",,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,,"760,37",,,,,,,-,,,,,,"760,37",,,,,,"1.516,69",,,,,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,,"793,42",,,,,,,-,,,,,,"793,42",,,,,,"1.582,63",,,,,,,,,,,,
PILAR-AL,,,,,,,,,AL,,,"198.564,34",,,,,,,"127.455,62",,,,,,"326.019,96",,,,,,"631.964,40",,,,,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,,"892,60",,,,,,,-,,,,,,"892,60",,,,,,"1.780,46",,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,,"661,19",,,,,,,-,,,,,,"661,19",,,,,,"1.318,86",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,,"826,48",,,,,,,-,,,,,,"826,48",,,,,,"1.648,57",,,,,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,,"8.014,07",,,,,,,"4.444,08",,,,,,"12.458,15",,,,,,"24.954,09",,,,,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,,"1.973.347,96",,,,,,,"1.458,02",,,,,,"1.974.805,98",,,,,,"3.834.638,68",,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,,"102.346,16",,,,,,,"396,21",,,,,,"102.742,37",,,,,,"196.715,98",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,,"694,25",,,,,,,-,,,,,,"694,25",,,,,,"1.384,81",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,,"859,54",,,,,,,-,,,,,,"859,54",,,,,,"1.714,51",,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,,"958,72",,,,,,,-,,,,,,"958,72",,,,,,"1.912,35",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,,"296.192,84",,,,,,,"171.147,19",,,,,,"467.340,03",,,,,,"913.555,66",,,,,,,,,,,,
