ANADIA-AL,,,,AL,,,,,"812,89",,,,,,,,-,,,,,,"812,89",,,,,,,,,"2.428,36",,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"1.049,98",,,,,,,,-,,,,,,"1.049,98",,,,,,,,,"3.136,63",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"711,28",,,,,,,,-,,,,,,"711,28",,,,,,,,,"2.124,82",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"677,41",,,,,,,,-,,,,,,"677,41",,,,,,,,,"2.023,63",,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"914,50",,,,,,,,-,,,,,,"914,50",,,,,,,,,"2.731,90",,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"711,28",,,,,,,,-,,,,,,"711,28",,,,,,,,,"2.124,82",,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"846,76",,,,,,,,-,,,,,,"846,76",,,,,,,,,"2.529,55",,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"677,41",,,,,,,,-,,,,,,"677,41",,,,,,,,,"2.023,63",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"1.049,98",,,,,,,,-,,,,,,"1.049,98",,,,,,,,,"3.136,63",,,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"846,76",,,,,,,,-,,,,,,"846,76",,,,,,,,,"2.529,55",,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"677,41",,,,,,,,-,,,,,,"677,41",,,,,,,,,"2.023,63",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"812,89",,,,,,,,-,,,,,,"812,89",,,,,,,,,"2.428,36",,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"1.788,46",,,,,,,,"716,63",,,,,,"2.505,09",,,,,,,,,"8.384,91",,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"1.056.396,51",,,,,,,,"66.164,84",,,,,,"1.122.561,35",,,,,,,,,"3.069.776,14",,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"24.586,05",,,,,,,,"33.698,25",,,,,,"58.284,30",,,,,,,,,"174.113,90",,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"711,28",,,,,,,,-,,,,,,"711,28",,,,,,,,,"2.124,82",,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"779,02",,,,,,,,-,,,,,,"779,02",,,,,,,,,"2.327,18",,,,,,,,,,,
IGREJANOVA-AL,,,,AL,,,,,"880,63",,,,,,,,-,,,,,,"880,63",,,,,,,,,"2.630,72",,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"677,41",,,,,,,,-,,,,,,"677,41",,,,,,,,,"2.023,63",,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"677,41",,,,,,,,-,,,,,,"677,41",,,,,,,,,"2.023,63",,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,,"4.772,84",,,,,,,,"1.691,63",,,,,,"6.464,47",,,,,,,,,"15.719,67",,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"880,63",,,,,,,,-,,,,,,"880,63",,,,,,,,,"2.630,72",,,,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"677,41",,,,,,,,-,,,,,,"677,41",,,,,,,,,"2.023,63",,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"880,63",,,,,,,,-,,,,,,"880,63",,,,,,,,,"2.630,72",,,,,,,,,,,
MACEIO-AL,,,,AL,,,,,"78.168,58",,,,,,,,"15.150,02",,,,,,"93.318,60",,,,,,,,,"277.016,93",,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"880,63",,,,,,,,-,,,,,,"880,63",,,,,,,,,"2.630,72",,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"136.752,36",,,,,,,,"110.538,45",,,,,,"247.290,81",,,,,,,,,"685.251,03",,,,,,,,,,,
