ANADIA-AL,,,,AL,,,,"867,78",,,,,,-,,,,,,,"867,78",,,,,,,"5.472,09",,,,,,,,
ATALAIA-AL,,,,AL,,,,"1.120,88",,,,,,-,,,,,,,"1.120,88",,,,,,,"7.068,14",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"759,31",,,,,,-,,,,,,,"759,31",,,,,,,"4.788,09",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"723,15",,,,,,-,,,,,,,"723,15",,,,,,,"4.560,08",,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"976,25",,,,,,-,,,,,,,"976,25",,,,,,,"6.156,10",,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"759,31",,,,,,-,,,,,,,"759,31",,,,,,,"4.788,09",,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"903,94",,,,,,-,,,,,,,"903,94",,,,,,,"5.700,09",,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"723,15",,,,,,-,,,,,,,"723,15",,,,,,,"4.560,08",,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"1.120,88",,,,,,-,,,,,,,"1.120,88",,,,,,,"7.068,14",,,,,,,,
CAPELA-AL,,,,AL,,,,"903,94",,,,,,-,,,,,,,"903,94",,,,,,,"5.700,09",,,,,,,,
CHA PRETA-AL,,,,AL,,,,"723,15",,,,,,-,,,,,,,"723,15",,,,,,,"4.560,08",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"867,78",,,,,,-,,,,,,,"867,78",,,,,,,"5.472,09",,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"1.578,74",,,,,,"551,86",,,,,,,"2.130,60",,,,,,,"13.714,15",,,,,,,,
CORURIPE-AL,,,,AL,,,,"1.056.379,18",,,,,,"68.792,36",,,,,,,"1.125.171,54",,,,,,,"8.942.525,95",,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"26.246,25",,,,,,"35.973,76",,,,,,,"62.220,01",,,,,,,"391.430,59",,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"759,31",,,,,,-,,,,,,,"759,31",,,,,,,"4.861,29",,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"831,62",,,,,,-,,,,,,,"831,62",,,,,,,"5.244,09",,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"940,10",,,,,,-,,,,,,,"940,10",,,,,,,"5.928,10",,,,,,,,
JACUIPE-AL,,,,AL,,,,"723,15",,,,,,-,,,,,,,"723,15",,,,,,,"4.560,08",,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"723,15",,,,,,-,,,,,,,"723,15",,,,,,,"4.560,08",,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,"795,46",,,,,,-,,,,,,,"795,46",,,,,,,"59.776,86",,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"940,10",,,,,,-,,,,,,,"940,10",,,,,,,"5.928,10",,,,,,,,
JUNDIA-AL,,,,AL,,,,"723,15",,,,,,-,,,,,,,"723,15",,,,,,,"4.560,08",,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,"940,10",,,,,,-,,,,,,,"940,10",,,,,,,"5.928,10",,,,,,,,
MACEIO-AL,,,,AL,,,,"86.702,90",,,,,,"16.746,72",,,,,,,"103.449,62",,,,,,,"846.401,47",,,,,,,,
MARAGOGI-AL,,,,AL,,,,"940,10",,,,,,-,,,,,,,"940,10",,,,,,,"5.928,10",,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"150.525,28",,,,,,"120.578,26",,,,,,,"271.103,54",,,,,,,"2.298.779,56",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"976,25",,,,,,-,,,,,,,"976,25",,,,,,,"6.082,88",,,,,,,,
MESSIAS-AL,,,,AL,,,,"759,31",,,,,,-,,,,,,,"759,31",,,,,,,"4.788,09",,,,,,,,
MURICI-AL,,,,AL,,,,"976,25",,,,,,-,,,,,,,"976,25",,,,,,,"6.156,10",,,,,,,,
NOVO LINO-AL,,,,AL,,,,"759,31",,,,,,-,,,,,,,"759,31",,,,,,,"4.788,09",,,,,,,,
