ANADIA-AL,,,,,,,AL,,,"654,14",,,,,,,,-,,,,,,,,"654,14",,,,,,,"2.749,36",,,,,,,,,
ATALAIA-AL,,,,,,,AL,,,"872,19",,,,,,,,-,,,,,,,,"872,19",,,,,,,"3.665,82",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,,"599,63",,,,,,,,-,,,,,,,,"599,63",,,,,,,"2.520,25",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,14",,,,,,,,,
BOCA DA MATA-AL,,,,,,,AL,,,"735,91",,,,,,,,-,,,,,,,,"735,91",,,,,,,"3.093,04",,,,,,,,,
BRANQUINHA-AL,,,,,,,AL,,,"572,37",,,,,,,,-,,,,,,,,"572,37",,,,,,,"2.405,68",,,,,,,,,
CAJUEIRO-AL,,,,,,,AL,,,"708,65",,,,,,,,-,,,,,,,,"708,65",,,,,,,"2.978,48",,,,,,,,,
CAMPESTRE-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,14",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,,"844,93",,,,,,,,-,,,,,,,,"844,93",,,,,,,"3.551,27",,,,,,,,,
CAPELA-AL,,,,,,,AL,,,"654,14",,,,,,,,-,,,,,,,,"654,14",,,,,,,"2.749,36",,,,,,,,,
CHA PRETA-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,14",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,,"681,40",,,,,,,,-,,,,,,,,"681,40",,,,,,,"2.863,93",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,,"56.510,06",,,,,,,,"122,97",,,,,,,,"56.633,03",,,,,,,"120.321,30",,,,,,,,,
CORURIPE-AL,,,,,,,AL,,,"1.129.335,91",,,,,,,,"51.233,51",,,,,,,,"1.180.569,42",,,,,,,"4.261.134,88",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,,"19.592,88",,,,,,,,"27.381,05",,,,,,,,"46.973,93",,,,,,,"197.432,49",,,,,,,,,
FLEXEIRAS-AL,,,,,,,AL,,,"572,37",,,,,,,,-,,,,,,,,"572,37",,,,,,,"2.405,68",,,,,,,,,
IBATEGUARA-AL,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,,"626,88",,,,,,,"2.634,81",,,,,,,,,
IGREJA NOVA-AL,,,,,,,AL,,,"708,65",,,,,,,,-,,,,,,,,"708,65",,,,,,,"2.978,48",,,,,,,,,
JACUIPE-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,14",,,,,,,,,
JAPARATINGA-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,14",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,AL,,,"572,37",,,,,,,,-,,,,,,,,"572,37",,,,,,,"8.594,03",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,AL,,,"708,65",,,,,,,,-,,,,,,,,"708,65",,,,,,,"2.978,48",,,,,,,,,
JUNDIA-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,28",,,,,,,,,
JUNQUEIRO-AL,,,,,,,AL,,,"735,91",,,,,,,,-,,,,,,,,"735,91",,,,,,,"3.093,04",,,,,,,,,
MACEIO-AL,,,,,,,AL,,,"68.315,11",,,,,,,,"19.814,18",,,,,,,,"88.129,29",,,,,,,"366.053,62",,,,,,,,,
MARAGOGI-AL,,,,,,,AL,,,"735,91",,,,,,,,-,,,,,,,,"735,91",,,,,,,"3.093,04",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,AL,,,"89.672,76",,,,,,,,"87.283,47",,,,,,,,"176.956,23",,,,,,,"695.448,79",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,AL,,,"735,91",,,,,,,,-,,,,,,,,"735,91",,,,,,,"3.093,04",,,,,,,,,
MESSIAS-AL,,,,,,,AL,,,"626,88",,,,,,,,-,,,,,,,,"626,88",,,,,,,"2.634,81",,,,,,,,,
MURICI-AL,,,,,,,AL,,,"735,91",,,,,,,,-,,,,,,,,"735,91",,,,,,,"3.093,04",,,,,,,,,
NOVO LINO-AL,,,,,,,AL,,,"572,37",,,,,,,,-,,,,,,,,"572,37",,,,,,,"2.405,68",,,,,,,,,
PARIPUEIRA-AL,,,,,,,AL,,,"545,12",,,,,,,,"8.373,63",,,,,,,,"8.918,75",,,,,,,"37.546,39",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,AL,,,"599,63",,,,,,,,-,,,,,,,,"599,63",,,,,,,"2.520,25",,,,,,,,,
PENEDO-AL,,,,,,,AL,,,"899,44",,,,,,,,-,,,,,,,,"899,44",,,,,,,"1.317.584,26",,,,,,,,,
PIACABUCU-AL,,,,,,,AL,,,"654,14",,,,,,,,-,,,,,,,,"654,14",,,,,,,"2.749,36",,,,,,,,,
PILAR-AL,,,,,,,AL,,,"130.713,36",,,,,,,,"83.817,88",,,,,,,,"214.531,24",,,,,,,"740.306,47",,,,,,,,,
PINDOBA-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,14",,,,,,,,,
PORTO CALVO-AL,,,,,,,AL,,,"735,91",,,,,,,,-,,,,,,,,"735,91",,,,,,,"3.093,04",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,AL,,,"572,37",,,,,,,,-,,,,,,,,"572,37",,,,,,,"2.405,68",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,AL,,,"654,14",,,,,,,,-,,,,,,,,"654,14",,,,,,,"2.749,36",,,,,,,,,
RIO LARGO-AL,,,,,,,AL,,,"12.966,65",,,,,,,,"7.765,77",,,,,,,,"20.732,42",,,,,,,"80.834,82",,,,,,,,,
ROTEIRO-AL,,,,,,,AL,,,"57.431,33",,,,,,,,"818,93",,,,,,,,"58.250,26",,,,,,,"126.729,83",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"3.474,29",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,AL,,,"572,37",,,,,,,,-,,,,,,,,"572,37",,,,,,,"2.405,68",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,AL,,,"708,65",,,,,,,,-,,,,,,,,"708,65",,,,,,,"2.978,48",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,AL,,,"763,16",,,,,,,,-,,,,,,,,"763,16",,,,,,,"3.207,59",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,AL,,,"292.523,44",,,,,,,,"197.590,77",,,,,,,,"490.114,21",,,,,,,"2.137.683,68",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,AL,,,"545,12",,,,,,,,-,,,,,,,,"545,12",,,,,,,"2.291,14",,,,,,,,,
SATUBA-AL,,,,,,,AL,,,"21.903,39",,,,,,,,"13.723,34",,,,,,,,"35.626,73",,,,,,,"1.501.340,47",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,AL,,,"844,93",,,,,,,,-,,,,,,,,"844,93",,,,,,,"3.551,27",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,AL,,,"899,44",,,,,,,,-,,,,,,,,"899,44",,,,,,,"3.780,38",,,,,,,,,
VICOSA-AL,,,,,,,AL,,,"735,91",,,,,,,,-,,,,,,,,"735,91",,,,,,,"3.093,04",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"1.906.711,35",,,,,,,,"497.925,50",,,,,,,,"2.404.636,85",,,,,,,"11.700.336,00",,,,,,,,,
