PORTO DE PEDRAS-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,"854,50",,,,,,,,-,,,,,,"854,50",,,,,,,"2.429,93",,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,"11.212,50",,,,,,,,"6.504,53",,,,,,"17.717,03",,,,,,,"48.458,67",,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,"1.368,90",,,,,,,,"442,02",,,,,,"1.810,92",,,,,,,"4.913,48",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,"717,78",,,,,,,,-,,,,,,"717,78",,,,,,,"2.041,14",,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,"888,68",,,,,,,,-,,,,,,"888,68",,,,,,,"2.527,13",,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,"957,04",,,,,,,,-,,,,,,"957,04",,,,,,,"2.721,52",,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,"328.762,79",,,,,,,,"209.894,56",,,,,,"538.657,35",,,,,,,"1.488.310,09",,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,"683,60",,,,,,,,-,,,,,,"683,60",,,,,,,"1.943,94",,,,,,,,,,,,
SATUBA-AL,,,,AL,,,"25.331,64",,,,,,,,"15.853,89",,,,,,"41.185,53",,,,,,,"95.339,19",,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,"1.025,41",,,,,,,,-,,,,,,"1.025,41",,,,,,,"2.915,93",,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,"1.127,95",,,,,,,,-,,,,,,"1.127,95",,,,,,,"3.207,52",,,,,,,,,,,,
VICOSA-AL,,,,AL,,,"922,86",,,,,,,,-,,,,,,"922,86",,,,,,,"2.624,33",,,,,,,,,,,,
ALAGOAS TOTAL,,,,,,,"1.791.591,19",,,,,,,,"641.772,16",,,,,,"2.433.363,35",,,,,,,"7.092.575,87",,,,,,,,,,,,
ANAMA-AM,,,,AM,,,-,,,,,,,,"2.078,32",,,,,,"2.078,32",,,,,,,"6.209,07",,,,,,,,,,,,
ANORI-AM,,,,AM,,,-,,,,,,,,"2.078,32",,,,,,"2.078,32",,,,,,,"6.209,07",,,,,,,,,,,,
AUTAZES-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
BERURI-AM,,,,AM,,,-,,,,,,,,"2.078,32",,,,,,"2.078,32",,,,,,,"6.209,07",,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
CAREIRO-AM,,,,AM,,,-,,,,,,,,"2.078,32",,,,,,"2.078,32",,,,,,,"6.209,07",,,,,,,,,,,,
COARI-AM,,,,AM,,,"1.905.805,82",,,,,,,,"1.771.954,55",,,,,,"3.677.760,37",,,,,,,"10.273.563,31",,,,,,,,,,,,
CODAJAS-AM,,,,AM,,,-,,,,,,,,"2.078,32",,,,,,"2.078,32",,,,,,,"6.209,07",,,,,,,,,,,,
IRANDUBA-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
ITACOATIARA-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
ITAPIRANGA-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
MANACAPURU-AM,,,,AM,,,-,,,,,,,,"2.078,32",,,,,,"2.078,32",,,,,,,"6.209,07",,,,,,,,,,,,
MANAQUIRI -AM,,,,AM,,,-,,,,,,,,"2.078,32",,,,,,"2.078,32",,,,,,,"6.209,07",,,,,,,,,,,,
MANAUS-AM,,,,AM,,,"961.205,85",,,,,,,,"84.700,90",,,,,,"1.045.906,75",,,,,,,"3.256.943,20",,,,,,,,,,,,
PARINTINS-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
SILVES-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
URUCARA-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
