SANTA LUZIA DO NORTE-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,,"674,16",,,,,,,,-,,,,,,"674,16",,,,,"1.323,36",,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"834,68",,,,,,,,-,,,,,,"834,68",,,,,"1.638,45",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"898,88",,,,,,,,-,,,,,,"898,88",,,,,"1.764,48",,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"298.843,07",,,,,,,,"185.039,06",,,,,,"483.882,13",,,,,"949.652,74",,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"642,06",,,,,,,,-,,,,,,"642,06",,,,,"1.260,34",,,,,,,
SATUBA-AL,,,AL,,,,"16.268,46",,,,,,,,"10.037,62",,,,,,"26.306,08",,,,,"54.153,66",,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,"963,09",,,,,,,,-,,,,,,"963,09",,,,,"1.890,52",,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,"1.059,40",,,,,,,,-,,,,,,"1.059,40",,,,,"2.079,57",,,,,,,
VICOSA-AL,,,AL,,,,"866,78",,,,,,,,-,,,,,,"866,78",,,,,"1.701,47",,,,,,,
ALAGOAS TOTAL,,,,,,,"1.570.947,59",,,,,,,,"563.232,84",,,,,,"2.134.180,43",,,,,"4.659.212,52",,,,,,,
ANAMA-AM,,,AM,,,,-,,,,,,,,"1.924,95",,,,,,"1.924,95",,,,,"4.130,75",,,,,,,
ANORI-AM,,,AM,,,,-,,,,,,,,"1.924,95",,,,,,"1.924,95",,,,,"4.130,75",,,,,,,
AUTAZES-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
BERURI -AM,,,AM,,,,-,,,,,,,,"1.924,95",,,,,,"1.924,95",,,,,"4.130,75",,,,,,,
CAREIRO-AM,,,AM,,,,-,,,,,,,,"1.924,95",,,,,,"1.924,95",,,,,"4.130,75",,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
COARI-AM,,,AM,,,,"1.555.054,72",,,,,,,,"1.454.140,95",,,,,,"3.009.195,67",,,,,"6.595.802,94",,,,,,,
CODAJAS-AM,,,AM,,,,-,,,,,,,,"1.924,95",,,,,,"1.924,95",,,,,"4.130,75",,,,,,,
IRANDUBA-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
ITACOATIARA-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
ITAPIRANGA-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
MANACAPURU-AM,,,AM,,,,-,,,,,,,,"1.924,95",,,,,,"1.924,95",,,,,"4.130,75",,,,,,,
MANAQUIRI-AM,,,AM,,,,-,,,,,,,,"1.924,95",,,,,,"1.924,95",,,,,"4.130,75",,,,,,,
MANAUS-AM,,,AM,,,,"884.766,66",,,,,,,,"61.166,12",,,,,,"945.932,78",,,,,"2.211.036,45",,,,,,,
PARINTINS-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
SILVES-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
URUCARA-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
URUCURITUBA-AM,,,AM,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
AMAZONAS TOTAL,,,,,,,"2.439.821,38",,,,,,,,"1.573.684,07",,,,,,"4.013.505,45",,,,,"8.931.268,13",,,,,,,
LARANJAL DO JARI -AP,,,AP,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
MACAPA-AP,,,AP,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
MAZAGAO-AP,,,AP,,,,-,,,,,,,,"4.989,15",,,,,,"4.989,15",,,,,"10.612,61",,,,,,,
AMAPA TOTAL,,,,,,,-,,,,,,,,"14.967,45",,,,,,"14.967,45",,,,,"31.837,83",,,,,,,
ACAJUTIBA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
ADUSTINA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
AGUA FRIA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
AIQUARA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
ALAGOINHAS-BA,,,BA,,,,"268.153,22",,,,,,,,"122.478,82",,,,,,"390.632,04",,,,,"703.178,83",,,,,,,
AMARGOSA-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,,"104,32",,,,,,,,-,,,,,,"104,32",,,,,"205,23",,,,,,,
ANAGE-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
ANGUERA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
ANTAS-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
